depth,horizon_s,bin,imbalance,move_bps,se_bps,n
1,1,0,-0.9208631555489785,-0.45268212271122743,0.059117667426556546,299
1,1,1,-0.5795967635323872,-0.1877920641300038,0.04463514503164692,298
1,1,2,-0.2553682382723403,-0.12620231259707324,0.05097542351835828,298
1,1,3,-0.032003891457060486,-0.053006985491818016,0.04447892456140978,298
1,1,4,0.14029656388484804,0.0161385131823728,0.03770067054358135,298
1,1,5,0.337104730352455,0.03426134702348138,0.04360462927217291,298
1,1,6,0.5411258794957154,0.10168315764073133,0.04606115325156001,298
1,1,7,0.7979611701450673,0.1702801779719874,0.04174789483746163,298
1,1,8,0.9458871393521459,0.2112769417843681,0.03695563846592237,298
1,1,9,0.9867835146581033,0.27011093707382083,0.041505991816094795,299
1,5,0,-0.9213336020914892,-0.7530365541732291,0.14363977811178508,298
1,5,1,-0.5808802443410647,-0.48636099386788284,0.11608190402286937,298
1,5,2,-0.25628553943691107,-0.2215413453923859,0.10859542291945812,298
1,5,3,-0.03289258708659574,0.04158926770831129,0.1022181504505491,297
1,5,4,0.139073965934233,-0.15238947378333031,0.12285353900680575,298
1,5,5,0.3357231892185381,0.15224965154050443,0.10862775284449858,298
1,5,6,0.5403595997723234,0.20223157153778876,0.10445423189860147,297
1,5,7,0.7979608426546351,0.24528811204750453,0.102496941000955,298
1,5,8,0.9458941079455451,0.3889652659044625,0.09058360596999657,298
1,5,9,0.9868340697045418,0.5435208558694122,0.08989666890462354,298
1,30,0,-0.920705349897677,-1.5059046980789113,0.2960360914144697,296
1,30,1,-0.5740766770090562,-0.37274723763279877,0.2804956628592731,295
1,30,2,-0.2533099793488961,-0.5253322048654188,0.29339532845736593,295
1,30,3,-0.031585168894697056,-0.033420943970614084,0.2496750648113205,295
1,30,4,0.14042941364426353,-0.42814656738087276,0.28419784848637003,296
1,30,5,0.3372715605028008,0.0641028943788628,0.24661946917409666,295
1,30,6,0.5407142969786733,0.16558434055835247,0.29346715032525433,295
1,30,7,0.7971352820316671,0.7633391794622978,0.28719141142663424,295
1,30,8,0.9454370813818942,0.39444962000021583,0.2852289544116701,295
1,30,9,0.9868647041093775,1.2117048075821084,0.3130800452098179,296
5,1,0,-0.7731832496435678,-0.4147142079332461,0.05874544551776893,299
5,1,1,-0.40442057751638427,-0.13762678284599753,0.0461450156692429,298
5,1,2,-0.1347352845863091,-0.15521831514669046,0.046410572809392044,298
5,1,3,0.0582672722719893,-0.03801465781936906,0.04788159297528599,298
5,1,4,0.21806000348082918,-0.01901265342683571,0.044858995817655664,298
5,1,5,0.3847815891735687,0.03267438603701984,0.036685365931227294,298
5,1,6,0.5657408301837032,0.10728437083084802,0.04790154202558341,298
5,1,7,0.732144956776366,0.12279412229115158,0.042360215536239046,298
5,1,8,0.8934624116423381,0.25609710436424077,0.04118107632995922,298
5,1,9,0.978337779746119,0.22981204546541872,0.03682868193659206,299
5,5,0,-0.7738450718771549,-0.76049847589019,0.15488851075613605,298
5,5,1,-0.40550538345271975,-0.24622439281109493,0.10968130075070809,298
5,5,2,-0.13547820959160495,-0.24755418834358703,0.10342497557105972,298
5,5,3,0.05744433496313265,-0.020327891718720282,0.12170338394085764,297
5,5,4,0.21711855182857026,-0.05804321522243143,0.10654283664222282,298
5,5,5,0.38422277374209707,0.07512386365786057,0.10321220768999986,298
5,5,6,0.5659717224896992,0.16695890315145748,0.0984229533239313,297
5,5,7,0.732144956776366,0.017728399180517142,0.10659392686708966,298
5,5,8,0.8934624116423381,0.5182208379976494,0.10251020207185049,298
5,5,9,0.9783234249684853,0.514806377027905,0.0804464243600208,298
5,30,0,-0.7737477733880915,-0.9523400530447922,0.30664992087106646,296
5,30,1,-0.4027946631630094,-0.18045429484322295,0.2838998740856177,295
5,30,2,-0.13311559591337865,-0.6561104097584611,0.27819153763255094,295
5,30,3,0.05898814895379964,-0.43914853120389363,0.2572970960879496,295
5,30,4,0.21808934915096015,-0.20053397128171516,0.26296817762785746,296
5,30,5,0.38511470556183974,-0.830382274626978,0.31638899256111785,295
5,30,6,0.5661132648481008,-0.06329335857299179,0.27341104034870595,295
5,30,7,0.7319089616741461,0.44391840263724464,0.2737061439680724,295
5,30,8,0.8940102834051669,0.70796396512305,0.2935676145679748,295
5,30,9,0.9783079755361305,1.899031735391279,0.2757864474866617,296
20,1,0,-0.5203917148997025,-0.28674498369403667,0.06021118151070935,299
20,1,1,-0.16730627248549848,-0.13322688949114106,0.05337086616379908,298
20,1,2,0.007062124137611624,-0.11628309372992213,0.04909150661628104,298
20,1,3,0.14367391917532493,-0.055674688389193074,0.05815113075086652,298
20,1,4,0.24402978792238256,0.056512785150063034,0.03858844793856459,298
20,1,5,0.3310499187399175,0.04766510423499919,0.03998791415652183,298
20,1,6,0.41735603355055817,0.09995154746746615,0.03975532014252032,298
20,1,7,0.5031818163623782,0.07088507330491536,0.040611169445216165,298
20,1,8,0.6115631795273819,0.09291912918221032,0.03363329237176058,298
20,1,9,0.7571527972494154,0.20771614816059375,0.03738333366757469,299
20,5,0,-0.5211510153983715,-0.37758658825913033,0.146278477180512,298
20,5,1,-0.16799837428619377,-0.28921861911345714,0.13670977067787166,298
20,5,2,0.007062124137611624,-0.16947576966032554,0.10591087712718458,298
20,5,3,0.14349659524973213,-0.12049591114422165,0.11217037499828264,297
20,5,4,0.24371005362735645,-0.05785184745772923,0.11701077671471158,298
20,5,5,0.33077804125162125,-0.08290679708550233,0.10497060283184442,298
20,5,6,0.4169221685878964,0.35021674379590056,0.09873110731733133,297
20,5,7,0.5025727250494173,-0.03336850435935996,0.0985815845419296,298
20,5,8,0.6107628917247003,0.28825438382536356,0.09344664668078786,298
20,5,9,0.7568278698217161,0.4529019513912473,0.08189113143604031,298
20,30,0,-0.5211510153983715,-0.541875506280857,0.2993605112782391,298
20,30,1,-0.16932550344509406,-1.745856810198334,0.30929034438415925,293
20,30,2,0.0052201653925373825,-0.3380451913478156,0.26516561595810556,295
20,30,3,0.14207180401979513,-0.2579764668041913,0.29531817741296906,295
20,30,4,0.24242959912317835,-0.30186172429823993,0.2563924827517501,296
20,30,5,0.3297398880680215,-0.23391799481843434,0.2734878097721949,295
20,30,6,0.41605011489376253,1.4260428955509132,0.2955122400267517,295
20,30,7,0.5014772626982948,0.34723161804022684,0.2998472676584507,295
20,30,8,0.6097013871010014,0.4362034311152323,0.2741884222857974,295
20,30,9,0.7562975695288973,0.9327719094520586,0.25098445606097386,296
