,,n_trades,gross_bps,net_half_bps,net_full_bps,hit_rate,flat_share,t_stat,total_net_half_bps,total_net_full_bps
fixed,formation,196.0,-0.019614085602866545,-0.026115908626099874,-20.032243376052733,0.5411764705882353,0.1326530612244898,-0.11903760490446158,-5.118718090715575,-3926.3197017063358
fixed,evaluation,197.0,0.16913463453618507,0.16300075069579417,-19.843133147423387,0.5985401459854015,0.30456852791878175,1.460083996470224,32.11114788707145,-3909.0972300424073
chosen,formation,488.0,0.1233693229382775,0.11724210592368851,-19.889085666075662,0.6390243902439025,0.5799180327868853,2.77483397979206,57.214147690759994,-9705.873805044923
chosen,evaluation,461.0,0.11515294057373415,0.10901908769504305,-19.897114750533415,0.7304347826086957,0.7505422993492408,4.2901986376058066,50.257799427414845,-9172.569899995904
