depth,threshold,horizon_s,n_trades,gross_bps,net_half_bps,net_full_bps,hit_rate,flat_share,t_stat,total_net_half_bps,total_net_full_bps
1,0.3,1,600,0.0979601956827311,0.0918330202245527,-19.914457261194386,0.6138996138996139,0.5683333333333334,2.530308418281129,55.09981213473162,-11948.674356716632
1,0.3,5,226,0.22169855203822997,0.21557142361332796,-19.790555702679335,0.5736040609137056,0.12831858407079647,1.4446383068125654,48.719141736612116,-4472.665588805529
1,0.3,10,129,0.41463084893884655,0.40850356693472073,-19.59762368904945,0.5967741935483871,0.03875968992248062,1.3424726044297448,52.69696013457897,-2528.093455887379
1,0.5,1,488,0.1233693229382775,0.11724210592368851,-19.889085666075662,0.6390243902439025,0.5799180327868853,2.77483397979206,57.214147690759994,-9705.873805044923
1,0.5,5,206,0.12599804367801948,0.11987090626547459,-19.886256217823323,0.5439560439560439,0.11650485436893204,0.8094980477723962,24.693406690687766,-4096.568780871605
1,0.5,10,124,0.459596856699723,0.4534696116547372,-19.55285496421306,0.5785123966942148,0.024193548387096774,1.7464661264208385,56.23023184518741,-2424.5540155624194
1,0.7,1,375,0.150094054982666,0.1437710546724668,-19.862356245468852,0.6335403726708074,0.5706666666666667,3.1729194763630466,53.91414550217505,-7448.38359205082
1,0.7,5,175,0.23707520252017705,0.23052860335318612,-19.775598571480135,0.5909090909090909,0.12,1.486667705175265,40.34250558680757,-3460.7297500090235
1,0.7,10,113,0.3879327289720403,0.38180557608562543,-19.624321626515453,0.5229357798165137,0.035398230088495575,1.1615618106194445,43.144030097675675,-2217.548343796246
5,0.3,1,575,0.09174512624255052,0.08544745049900893,-19.920680018715565,0.5907335907335908,0.5495652173913044,2.2804506655245764,49.13228403693013,-11454.39101076145
5,0.3,5,227,0.12334091336383557,0.11721353833769815,-19.8889138444469,0.5663265306122449,0.13656387665198239,0.8323251025650389,26.60747320265748,-4514.783442689446
5,0.3,10,128,0.20690880339457332,0.2005903541586622,-19.806110198721164,0.568,0.0234375,0.7496978792040392,25.67556533230876,-2535.182105436309
5,0.5,1,438,0.13306800527710558,0.12671694014792922,-19.879410698381438,0.6108374384236454,0.5365296803652968,2.826201949556752,55.502019784793006,-8707.18188589107
5,0.5,5,196,-0.019614085602866545,-0.026115908626099874,-20.032243376052733,0.5411764705882353,0.1326530612244898,-0.11903760490446158,-5.118718090715575,-3926.3197017063358
5,0.5,10,117,0.4726349963835774,0.4665075246428612,-19.54045647291258,0.5714285714285714,0.042735042735042736,1.4424345148632265,54.581380383214764,-2286.233407330772
5,0.7,1,296,0.13643619646537075,0.13006079130680606,-19.876066663616843,0.6428571428571429,0.5743243243243243,2.530839175608243,38.49799422681459,-5883.315732430586
5,0.7,5,152,0.2562267964476619,0.2500992813300023,-19.75602824545227,0.5373134328358209,0.11842105263157894,1.45275879122359,38.015090762160355,-3002.916293308745
5,0.7,10,101,0.41658243445532944,0.41045476098897643,-19.595672835488198,0.5208333333333334,0.04950495049504951,1.2614834720416568,41.45593085988662,-1979.162956384308
20,0.3,1,447,0.11608721860407456,0.10974082874520426,-19.896386593747952,0.59375,0.5704697986577181,2.6778114002000475,49.0541504491063,-8893.684807405334
20,0.3,5,193,0.11895150733909696,0.11244385752194568,-19.893683494827766,0.5088757396449705,0.12435233160621761,0.7227664334916674,21.701664501735515,-3839.480914501759
20,0.3,10,115,0.3504577759096104,0.3443306483657622,-19.661796452439926,0.5181818181818182,0.043478260869565216,1.2609231906433456,39.598024562062655,-2261.1065920305914
20,0.5,1,209,0.2339532895645202,0.22735800935307154,-19.77876898970052,0.6701030927835051,0.5358851674641149,3.3055957534265588,47.51782395479195,-4133.762718847409
20,0.5,5,116,0.12258967990783917,0.11561836687488675,-19.890509287472053,0.49,0.13793103448275862,0.5965700177405342,13.411730557486862,-2307.299077346758
20,0.5,10,81,0.57541774111249,0.5689881595584177,-19.437139046636865,0.4935064935064935,0.04938271604938271,1.4383212957276612,46.088040924231834,-1574.408262777586
20,0.7,1,81,0.21391302176801255,0.20688057376610863,-19.79924589599453,0.7222222222222222,0.5555555555555556,2.2908817262447743,16.7573264750548,-1603.738917575557
20,0.7,5,50,0.10447222263840336,0.09687720199317384,-19.90925008520187,0.5121951219512195,0.18,0.35878191125983055,4.843860099658692,-995.4625042600934
20,0.7,10,40,0.4252208895511643,0.41725791391482475,-19.588870046711474,0.4358974358974359,0.025,0.9283717339149846,16.69031655659299,-783.554801868459
