depth,horizon_s,slope_bps,t_stat,r2,hit_rate,n
1,1,0.3251212747882811,12.701347945299906,0.06279818327275166,0.7320525783619818,2982
1,2,0.4726511875157904,11.156122399212729,0.06168489479121042,0.681282722513089,2981
1,5,0.5956720977848619,6.641155719658566,0.03650483492370993,0.6173913043478261,2978
1,10,0.6998551468219198,4.694996905820646,0.024761916226285208,0.5737824972537532,2973
1,30,1.0691873077159004,2.9263970658550993,0.018086481746859673,0.5303547066848567,2953
5,1,0.34572909359780646,11.7972236949282,0.05549742930611801,0.7087967644084934,2982
5,2,0.48768899933713483,9.594493467946585,0.05133465204187404,0.6636125654450262,2981
5,5,0.6107034698221809,5.546457010646761,0.02999209852908835,0.6095652173913043,2978
5,10,0.7569780729695168,4.165007693374701,0.022647099533808945,0.5591358476748444,2973
5,30,1.1417396902500967,2.6413260920103205,0.01616524489888127,0.5129604365620737,2953
20,1,0.38218238857752407,7.959910110332029,0.0309157741409517,0.6552072800808898,2982
20,2,0.5638741722838193,6.597733568917188,0.03127645352295427,0.6197643979057592,2981
20,5,0.6797268211078454,3.731861692581853,0.016913832809420937,0.571304347826087,2978
20,10,0.9714895805746714,3.177271731989685,0.016978742856207374,0.5529110216038081,2973
20,30,1.6692321710042737,2.0678500829085213,0.015791311525069407,0.5081855388813097,2953
