pair,static beta,Kalman beta 2019-12-31,Kalman beta 2026-08,oos drift
BDX/ISRG,0.5109295866971721,0.5108176717531602,0.24891191708400348,-0.26190575466915667
AMT/CCI,1.3750987754204207,1.3750246523332135,1.1439287361527224,-0.23109591618049108
ETN/RTX,1.1362729236958566,1.1362417186762461,1.6900797459213084,0.5538380272450623
NOC/UPS,2.306903572624618,2.306841494399785,0.90874090203369,-1.3981005923660952
ACN/MSFT,0.6199613331850933,0.6198975581045534,0.5315329105845421,-0.08836464752001127
AEP/WEC,0.8806984482466511,0.8807090025981317,0.9141247701265107,0.03341576752837905
HSY/PG,0.9824192531412184,0.9826745941142475,1.0148051767104873,0.0321305825962398
GM/MAR,0.4484228113477844,0.4487527875250078,0.5401994575084217,0.09144666998341389
CL/TSN,0.1951624897060444,0.19531441195855512,0.37856422418492136,0.18324981222636624
IFF/NUE,0.486509899779159,0.4864976562877005,-0.14274073146375854,-0.629238387751459
F/TJX,-0.3716870229757241,-0.3724490785022585,0.3399172452615662,0.7123663237638247
AVGO/ORCL,2.094961783301714,2.0940111528201193,1.825322087883395,-0.2686890649367244
BAC/TFC,1.6569916476914104,1.6571507538335781,1.6465747855996227,-0.010575968233955457
OMC/T,0.4831435787321618,0.48314114761566906,0.4710247724200286,-0.01211637519564046
TMO/ZTS,0.7975697913517319,0.7974952556028312,0.9926611007120901,0.19516584510925894
LIN/SHW,0.8872933144736042,0.8872598585022121,1.0957260342862953,0.20846617578408322
C/MET,1.5139501395317287,1.513570333387609,0.6497483725950164,-0.8638219607925925
CMCSA/TMUS,0.5519163157269662,0.5515852692095039,0.2167283571219269,-0.334856912087577
ADBE/INTC,1.9023929198155465,1.903013822072509,0.6452366742166882,-1.2577771478558208
GILD/JNJ,-0.7309781055449553,-0.7315138530626187,0.5321304964965514,1.2636443495591703
KR/STZ,-0.5730098198552271,-0.5732380237171275,0.3776788252691235,0.950916848986251
ALB/DD,1.6394121063061768,1.6402248881388115,0.866638583609606,-0.7735863045292055
DUK/XEL,0.5558827548926288,0.5559777796164865,0.8037623631400693,0.2477845835235828
LOW/ROST,0.6453576534448819,0.6450830401338707,1.1309420774415322,0.48585903730766145
EXC/PEG,1.0550692676704392,1.0554012594423106,0.9835410306049877,-0.0718602288373229
AMGN/MDT,0.935641402302565,0.934510890920704,1.2745648319709066,0.3400539410502026
ABBV/CI,1.1878465572543728,1.1879415884447897,1.5974689310806343,0.40952734263584456
HON/WM,0.7521224718198964,0.7520102972846058,0.6208868417689627,-0.13112345551564308
CRM/CSCO,1.080438449989173,1.0800912542710133,0.9472468160623082,-0.13284443820870506
EL/WMT,1.3213170249267154,1.320731577230546,0.09039245726478931,-1.2303391199657565
CVS/SYK,-0.5019215995704203,-0.5029194510871121,0.02981524504682441,0.5327346961339365
EQIX/PLD,0.8993258144128315,0.8992587675951667,0.8972662050158063,-0.001992562579360313
GS/WFC,1.680863020613567,1.6811288976316943,1.4093751777405827,-0.2717537198911115
CSX/DE,1.2770630903730753,1.2773597085080195,0.6860614695638793,-0.5912982389441402
AEE/DTE,1.203219556686545,1.2032099454308607,1.1423141186284724,-0.06089582680238825
