noise_ratio,formation Sharpe,oos Sharpe (net),oos Sharpe (gross),oos net return/yr,oos turnover/yr,oos trades
0,1.6285217308727002,-0.15630161588006697,-0.029676744822863647,-0.006662634487161534,9.65554446879059,1138.0
1e-07,1.609997243893675,-0.18661846467248772,-0.05912546262102428,-0.007680499303243549,9.572496929229377,1127.0
1e-06,1.4284931659726503,0.021082784261068126,0.15538691849909728,0.00010290642737875721,9.83489304156703,1157.0
1e-05,1.196680200055611,-0.007826088959394207,0.13642091219659774,-0.0009289432517798346,10.385119811096164,1221.0
0.0001,0.7993101678026933,-0.10477951252883956,0.06862453814082922,-0.004401747929552391,12.463287259673717,1458.0
0.001,0.4105508449710792,-0.10385422962643119,0.18638136896735133,-0.003904892635209656,18.898774337147604,2194.0
0.01,0.08577123213230665,-0.03547478492294725,0.5119327139833635,-0.0013565210631349967,30.204358885519444,3502.0
static,3.0125863532845423,0.08273854692894392,0.20585986771317422,0.0024540727957194086,9.511057979677226,1127.0
