Date,vix,implied k=1,implied k=snapshot,realised 21d,pairwise 21d,realised 63d,pairwise 63d,gap k=1 vs 21d,gap k=snapshot vs 21d,gap k=snapshot vs 63d
2015-04-06,14.739999771118164,0.28690421088240525,0.07039133030544382,0.24889520244614136,0.46904156485933995,0.10722245628671828,0.3822805285199439,0.0380090084362639,-0.17850387214069752,-0.03683112598127446
2015-04-07,14.779999732971191,0.30767658379388674,0.08093095199905903,0.20936163872720318,0.44516325726200834,0.09184005293399926,0.3635389225704562,0.09831494506668356,-0.12843068672814414,-0.010909100934940227
2015-04-08,13.979999542236328,0.24881507447605333,0.04155271870929522,0.20456980936027075,0.4357552512435946,0.09269675339780743,0.3554548888128715,0.044245265115782584,-0.16301709065097553,-0.05114403468851221
2015-04-09,13.09000015258789,0.22567166233960953,0.015135811773026931,0.1612435962007425,0.394778448864078,0.08274362575079086,0.3560175467901246,0.06442806613886704,-0.14610778442771558,-0.06760781397776393
2015-04-10,12.579999923706056,0.1973016439197272,-0.005220003336336244,0.17493127978418344,0.3983405139559198,0.075821765368187,0.3358047867256363,0.022370364135543774,-0.18015128312051967,-0.08104176870452323
2015-04-13,13.9399995803833,0.3323071968869611,0.07694820157900015,0.15264906057237404,0.4114942412243974,0.07330079836345134,0.3330988576474414,0.17965813631458705,-0.07570085899337389,0.0036474032155488084
2015-04-14,13.670000076293944,0.31030379423514876,0.06165708497154325,0.1402789277696116,0.39521069921273827,0.07171496390313631,0.3190204163618182,0.17002486646553716,-0.07862184279806834,-0.010057878931593059
2015-04-15,12.84000015258789,0.25109827503365995,0.020389379516450076,0.08835140761065707,0.35399548586158375,0.0719362477482377,0.3139336722610822,0.16274686742300287,-0.067962028094207,-0.051546868231787626
2015-04-16,12.600000381469728,0.2432755212467441,0.01394187331148549,0.09252146121661164,0.3497759277002748,0.06975473722701225,0.3130685401004439,0.15075406003013245,-0.07857958790512615,-0.05581286391552676
2015-04-17,13.890000343322754,0.335308187501025,0.08007458392899237,0.08510635917693431,0.38176250797148403,0.07381128984890754,0.323706637728966,0.25020182832409066,-0.005031775247941933,0.00626329408008483
2015-04-20,13.300000190734863,0.2341833644877232,0.02504288915274827,0.07652422314060842,0.42660893404376465,0.06378304300233319,0.32443541808159665,0.15765914134711478,-0.051481333987860145,-0.038740153849584916
2015-04-21,13.25,0.24080259648318364,0.02807290314490831,0.05908229132541891,0.4306549186162489,0.06546846612942525,0.3256793576526859,0.18172030515776472,-0.0310093881805106,-0.03739556298451694
2015-04-22,12.710000038146973,0.21933719317557496,0.015353237423241968,0.07856143806231326,0.44381511619664793,0.06689736280488545,0.32733018804140285,0.14077575511326168,-0.06320820063907129,-0.051544125381643484
2015-04-23,12.479999542236328,0.20803968688811034,0.008048877935511784,0.07378767436087429,0.44581688172361755,0.06061060448492324,0.2947656670568635,0.13425201252723606,-0.0657387964253625,-0.05256172654941146
2015-04-24,12.289999961853027,0.09467661221236806,-0.0485644339188179,-0.044716680280499306,0.29562321630877025,0.022662093675708095,0.28118151968563476,0.13939329249286736,-0.003847753638318595,-0.071226527594526
2015-04-27,13.119999885559082,0.1289680222341852,-0.024155140934127465,-0.04470128325354364,0.2823780654719919,0.022210305773277095,0.2798848468851004,0.17366930548772883,0.020546142319416174,-0.046365446707404556
2015-04-28,12.40999984741211,0.09274136571087394,-0.0480755241406951,-0.04429326825906116,0.27637744533835396,0.03798949128937796,0.24287847458126047,0.1370346339699351,-0.0037822558816339447,-0.08606501543007306
2015-04-29,13.390000343322754,0.14970784875208237,-0.012719673142789833,-0.07322702358151988,0.24933442851925625,0.039824766309309256,0.25051400660578116,0.22293487233360226,0.06050735043873004,-0.05254443945209909
2015-04-30,14.550000190734863,0.21077415803187216,0.029885874185618763,-0.06741653554918131,0.24065888872291868,0.04360509588668446,0.25422435480465194,0.27819069358105347,0.09730240973480007,-0.013719221701065695
2015-05-01,12.699999809265137,0.09137547445470676,-0.04646328027900515,-0.05206357985799603,0.25212393194956156,0.0685447387421342,0.2944848138072723,0.1434390543127028,0.005600299578990879,-0.11500801902113934
2015-05-04,12.850000381469728,0.09974862549185823,-0.04032285736405418,-0.051595060580027795,0.24054544217155815,0.061611210964948315,0.2877537828117639,0.15134368607188603,0.011272203215973615,-0.1019340683290025
2015-05-05,14.3100004196167,0.17234196722347542,0.009800644282005624,-0.030790326292184,0.2726957626921259,0.05209736095803984,0.29713630774034383,0.20313229351565942,0.04059097057418962,-0.04229671667603421
2015-05-06,15.149999618530272,0.21005793169579584,0.03624806799568673,-0.031867047012956,0.2761623461047429,0.05048921308114312,0.29873236061132574,0.24192497870875185,0.06811511500864273,-0.014241145085456389
2015-05-07,15.130000114440918,0.20126730570751605,0.031143886178961265,-0.03398419000341418,0.29243714939456655,0.043573635486608975,0.29626346242006424,0.23525149571093024,0.06512807618237546,-0.01242974930764771
2015-05-08,12.859999656677246,0.026401320869987286,-0.08152628376477632,-0.04792956962091495,0.2525371839270797,0.030230186850050227,0.28789359949386245,0.07433089049090223,-0.03359671414386137,-0.11175647061482655
2015-05-11,13.850000381469728,0.06198013753269238,-0.05694729865183234,-0.04939511762592432,0.2625422349807465,0.02987738218334462,0.29247884232889654,0.11137525515861671,-0.007552181025908017,-0.08682468083517696
2015-05-12,13.859999656677246,0.06117958013703388,-0.05721941175821264,-0.05187896536204059,0.2632994208176953,0.026231663369375255,0.2873686946310003,0.11305854549907447,-0.005340446396172052,-0.0834510751275879
2015-05-13,13.760000228881836,0.05944601849277089,-0.059122683593841104,-0.05171400086251972,0.27117765143913863,0.02793642867308007,0.28920374815244526,0.1111600193552906,-0.007408682731321385,-0.08705911226692117
2015-05-14,12.739999771118164,0.0138033030418163,-0.08760956639096694,-0.04242106756265333,0.3164750648393693,0.044987849111352965,0.29674836268821025,0.05622437060446964,-0.045188498828313606,-0.1325974155023199
2015-05-15,12.380000114440918,0.0015883380425913635,-0.09592939091773488,-0.04250984737308345,0.3291585779133032,0.044413157408572095,0.29888131842737836,0.04409818541567481,-0.05341954354465143,-0.14034254832630697
2015-05-18,12.729999542236328,0.01905267621228871,-0.08596638676019001,-0.05925725636767541,0.28332321183410025,0.045338674114833964,0.29987073544379744,0.07830993257996412,-0.026709130392514602,-0.13130506087502397
2015-05-19,12.850000381469728,0.036767856050156214,-0.07707119127698928,-0.06613443534518312,0.2674645922204012,0.04608688909509989,0.3012083506987381,0.10290229139533934,-0.010936755931806152,-0.12315808037208917
2015-05-20,12.880000114440918,0.03834429624436982,-0.07632464822617921,-0.0662708078472998,0.268319512241457,0.047157164421285015,0.3074340991277124,0.10461510409166963,-0.010053840378879408,-0.12348181264746422
2015-05-21,12.109999656677246,0.011069165534430868,-0.09498169356143166,-0.06858929207997375,0.26450462329069374,0.04479815034991924,0.30450773617714066,0.07965845761440461,-0.02639240148145791,-0.1397798439113509
2015-05-22,12.130000114440918,0.013089924969520278,-0.09489460582292823,-0.06867531560440236,0.2773263939621054,0.048308348989155606,0.3148734675919231,0.08176524057392263,-0.02621929021852587,-0.14320295481208384
2015-05-26,14.0600004196167,0.28235707373218233,0.05627313818549499,0.04800990391161166,0.3814606642479072,0.05564962933270261,0.32732302204228414,0.23434716982057066,0.008263234273883327,0.0006235088527923802
