,ETFBeta,EWMAC
2003-06-30,0.0,0.0
2003-09-30,0.0,0.0
2003-12-31,0.0,0.0
2004-03-31,0.0,0.0
2004-06-30,0.7499999999395685,0.0
2004-09-30,0.7499999973434219,0.0
2004-12-31,0.7499999999689557,0.0
2005-03-31,0.749999997144138,0.0
2005-06-30,0.7499999972476293,0.0
2005-09-30,0.7499999999706902,0.0
2005-12-31,0.7499999999711274,0.0
2006-03-31,0.7499999999694819,0.0
2006-06-30,0.7500000000271451,0.209314170580761
2006-09-30,0.7500000000491986,0.2807332874429509
2006-12-31,0.7499999996806366,0.3174264910359305
2007-03-31,0.7499999976383025,0.29406141453232626
2007-06-30,0.7499999992249932,0.30784893866886914
2007-09-30,0.7499999927908192,0.295723281699003
2007-12-31,0.7499999649313002,0.27611503517903885
2008-03-31,0.6843757079169311,0.35389901222641057
2008-06-30,0.7334567800981403,0.3074252334412351
2008-09-30,0.4968802704428237,0.5708486570230665
2008-12-31,0.29108957503569444,0.749999999383281
2009-03-31,0.37256249289628895,0.7499999935900189
2009-06-30,0.5053563879284311,0.7184346168054925
2009-09-30,0.47169346271373097,0.7293154016655309
2009-12-31,0.45535550407437025,0.7294539250082839
2010-03-31,0.469038683376933,0.7499999988116713
2010-06-30,0.4840826533844838,0.7499999989284499
2010-09-30,0.5927054539429738,0.7500000001996631
2010-12-31,0.6248372895651496,0.7499999998882814
2011-03-31,0.5955447026464845,0.7500000002216141
2011-06-30,0.516364338831064,0.7499999998718019
2011-09-30,0.46940622611288596,0.7499998900997115
2011-12-31,0.7499999985642873,0.6046433478469945
2012-03-31,0.7499999968758376,0.5695601229977014
2012-06-30,0.43268268337543997,0.7448832297569524
2012-09-30,0.6929031211683444,0.5923591073567002
2012-12-31,0.6400424511255312,0.6432184087478975
2013-03-31,0.465471366965513,0.7403983197241065
2013-06-30,0.484595548576567,0.7499999999865953
2013-09-30,0.5007384028930313,0.749999999981908
2013-12-31,0.0007384379011467104,0.7499999948466615
2014-03-31,0.0,0.7499999998672243
2014-06-30,0.12892390547430482,0.7499999999043291
2014-09-30,0.0,0.7499999998232917
2014-12-31,0.0,0.7499999999517986
2015-03-31,0.0,0.7499999999518915
2015-06-30,0.0,0.7499999999622139
2015-09-30,0.0,0.7499999999351065
2015-12-31,0.0,0.7499999999489979
2016-03-31,0.0,0.7499999999739442
2016-06-30,0.0,0.7500000000840368
2016-09-30,0.0,0.7499999999427649
2016-12-31,0.0,0.749999999966462
2017-03-31,0.0,0.7499999999344968
2017-06-30,0.0,0.7499999999836884
2017-09-30,0.0,0.7499999999766526
2017-12-31,0.4999999925031723,0.7500000003586661
2018-03-31,0.7499999992441021,0.7500000004809365
2018-06-30,0.7499999995168939,0.7500000004599263
2018-09-30,0.7500000000698436,0.74999999997266
2018-12-31,0.7500000001368796,0.7499999998343678
2019-03-31,0.7500000002239025,0.7499999996666422
2019-06-30,0.7500000003990063,0.7499999990882126
2019-09-30,0.7500000001892327,0.7499999999215933
2019-12-31,0.7500000002542206,0.7499999995395411
2020-03-31,0.7499999987708432,0.7500000003291389
2020-06-30,0.7499999998704141,0.750000000235496
2020-09-30,0.7499999997493354,0.7500000003446863
2020-12-31,0.7499999998322028,0.7500000002943763
2021-03-31,0.7500000000753693,0.74999999998338
2021-06-30,0.7499999997729745,0.7500000002116356
2021-09-30,0.7499999998814004,0.7499999999889065
2021-12-31,0.7499999974214441,0.735934896246794
2022-03-31,0.6031683061897345,0.7499988764609204
2022-06-30,0.5756850817828776,0.7500000001736103
2022-09-30,0.07568509689703809,0.749999999000673
2022-12-31,0.0,0.7499999990398043
2023-03-31,0.49999999628244535,0.7500000006342871
2023-06-30,0.5968020002667869,0.7499999998718238
2023-09-30,0.5968029086388245,0.7499999994368973
2023-12-31,0.6505024425967217,0.749999998419617
2024-03-31,0.7499999872708857,0.7499999980676288
2024-06-30,0.7499999912711488,0.749999999743863
2024-09-30,0.7499999989210225,0.7500000002606044
2024-12-31,0.7499999996617241,0.7499999997798009
2025-03-31,0.7499999681966595,0.2500003781748562
2025-06-30,0.749999999966273,0.0
2025-09-30,0.7499999999626925,0.0
2025-12-31,0.7499999998738922,0.0
2026-03-31,0.7500000005120584,0.4999999857298844
2026-06-30,0.7499999999268226,0.6057591006985996
2026-09-30,0.7500000000328785,0.590013864052264
