label,ann_ret,ann_vol,sharpe,max_dd,post2010_sharpe,2008,2020,2022
"trend project (monthly, own cache, 5bps)",0.08235049987262855,0.18586324547002037,0.5198426275091557,-0.32604343706597294,0.42069688161921664,0.24274763695231516,0.0019215827714820222,0.23180132338287462
"trend project pipeline on new yf panel (monthly, 5bps)",0.08213868323552243,0.18555989997762967,0.5193391128337146,-0.3260450335546283,0.4203550120348172,0.242703404428946,0.0019215829020484687,0.2318021406628794
"same, 7bps",0.07945912205405903,0.18551399044255693,0.5059867943159212,-0.32754252847408694,0.40582226778227515,0.24114579591690144,-0.0009064055120701076,0.22952319277112454
"TrendETF daily engine, daily returns",0.06729380722747291,0.1964560414525632,0.429921779198738,-0.3868180783178795,0.3364661103983854,0.23068647635658746,0.007870490304971556,0.2183993408449334
"TrendETF daily engine, month-end resampled",0.06715378019101892,0.18567235849458466,0.44364503206953254,-0.3479839541754146,0.33581284008723333,0.2306864763565879,0.007870490304970446,0.21839934084493495
