,TrendETF,FXCarryETF,CryptoTrend
2003-06-30,0.0,0.0,0.0
2003-09-30,0.0,0.0,0.0
2003-12-31,0.0,0.0,0.0
2004-03-31,0.0,0.0,0.0
2004-06-30,0.0,0.0,0.0
2004-09-30,0.0,0.0,0.0
2004-12-31,0.0,0.0,0.0
2005-03-31,0.0,0.0,0.0
2005-06-30,1.0,0.0,0.0
2005-09-30,1.0,0.0,0.0
2005-12-31,1.0,0.0,0.0
2006-03-31,1.0,0.0,0.0
2006-06-30,1.0,0.0,0.0
2006-09-30,1.0,0.0,0.0
2006-12-31,1.0,0.0,0.0
2007-03-31,1.0,0.0,0.0
2007-06-30,1.0,0.0,0.0
2007-09-30,0.5193013114123775,0.4806986885876225,0.0
2007-12-31,0.5168457937420283,0.48315420625797156,0.0
2008-03-31,0.5158278072075727,0.4841721927924273,0.0
2008-06-30,0.5030780127852391,0.4969219872147609,0.0
2008-09-30,0.4999999987295515,0.5000000012704487,0.0
2008-12-31,0.5000000004885514,0.4999999995114484,0.0
2009-03-31,0.5000000012041715,0.4999999987958283,0.0
2009-06-30,0.5000000011993173,0.4999999988006825,0.0
2009-09-30,0.4915178982933131,0.5084821017066867,0.0
2009-12-31,0.4773640493548719,0.522635950645128,0.0
2010-03-31,0.46788216467975874,0.5321178353202412,0.0
2010-06-30,0.46725483516375715,0.5327451648362429,0.0
2010-09-30,0.4156752358067255,0.5843247641932747,0.0
2010-12-31,0.4046778544053263,0.5953221455946738,0.0
2011-03-31,0.38917090994252007,0.6108290900574799,0.0
2011-06-30,0.4019516407740963,0.5980483592259039,0.0
2011-09-30,0.40136332898391974,0.5986366710160801,0.0
2011-12-31,0.3869833347822248,0.6130166652177752,0.0
2012-03-31,0.39441046140330444,0.6055895385966954,0.0
2012-06-30,0.40774064984562686,0.5922593501543731,0.0
2012-09-30,0.42434556790496414,0.5756544320950359,0.0
2012-12-31,0.4459680757345814,0.5540319242654187,0.0
2013-03-31,0.4915947540555818,0.5084052459444183,0.0
2013-06-30,0.4958663137079186,0.5041336862920814,0.0
2013-09-30,0.4698755070815442,0.5301244929184556,0.0
2013-12-31,0.46249789995258517,0.5375021000474147,0.0
2014-03-31,0.4281051043496612,0.5718948956503389,0.0
2014-06-30,0.4170525132864445,0.5829474867135555,0.0
2014-09-30,0.4053123877856583,0.5946876122143417,0.0
2014-12-31,0.3959573092965902,0.6040426907034099,0.0
2015-03-31,0.41821630669166104,0.581783693308339,0.0
2015-06-30,0.40340539394623004,0.5965946060537699,0.0
2015-09-30,0.40259706276010654,0.5974029372398932,0.0
2015-12-31,0.3890932058599427,0.6109067941400572,0.0
2016-03-31,0.37591547393603025,0.6240845260639699,0.0
2016-06-30,0.3704662706346059,0.6295337293653941,0.0
2016-09-30,0.37129465001539513,0.628705349984605,0.0
2016-12-31,0.36774595293188095,0.632254047068119,0.0
2017-03-31,0.37900758530275425,0.6209924146972459,0.0
2017-06-30,0.3868942434732527,0.6131057565267473,0.0
2017-09-30,0.3862863607848885,0.6137136392151117,0.0
2017-12-31,0.3959805373454783,0.6040194626545219,0.0
2018-03-31,0.375894661758744,0.6241053382412559,0.0
2018-06-30,0.38923614712567933,0.6107638528743207,0.0
2018-09-30,0.38953550268640885,0.6104644973135912,0.0
2018-12-31,0.41018029733188344,0.5898197026681167,0.0
2019-03-31,0.431817316069276,0.5681826839307241,0.0
2019-06-30,0.4484133607069865,0.5515866392930134,0.0
2019-09-30,0.46082426606322624,0.5391757339367738,0.0
2019-12-31,0.485242321552349,0.5147576784476511,0.0
2020-03-31,0.47881460006338783,0.5211853999366121,0.0
2020-06-30,0.4767009113869049,0.5232990886130952,0.0
2020-09-30,0.473308272528696,0.5266917274713041,0.0
2020-12-31,0.4682603152468752,0.5317396847531248,0.0
2021-03-31,0.4755532487416915,0.5244467512583085,0.0
2021-06-30,0.4731427101958694,0.5268572898041307,0.0
2021-09-30,0.46825759618759044,0.5317424038124094,0.0
2021-12-31,0.46968755526447586,0.5303124447355241,0.0
2022-03-31,0.468521472849144,0.531478527150856,0.0
2022-06-30,0.47017879565576703,0.5298212043442332,0.0
2022-09-30,0.4722475000890231,0.5277524999109771,0.0
2022-12-31,0.46236315171413445,0.5376368482858657,0.0
2023-03-31,0.31037448903372944,0.3476540344499867,0.3419714765162839
2023-06-30,0.3109955110137041,0.33964202489850337,0.3493624640877925
2023-09-30,0.3151595485548623,0.34107787058534006,0.34376258085979755
2023-12-31,0.31998969383887627,0.3414196918263255,0.33859061433479826
2024-03-31,0.32765861032893984,0.35717113146591506,0.31517025820514505
2024-06-30,0.32921395831645095,0.35889447564215277,0.3118915660413965
2024-09-30,0.3386523390210214,0.3628701409869447,0.29847751999203387
2024-12-31,0.34490285721743114,0.37321707440833396,0.28188006837423485
2025-03-31,0.3448813899709907,0.3742996946909878,0.2808189153380216
2025-06-30,0.34055176377282476,0.3620657387506337,0.29738249747654155
2025-09-30,0.37566177361402414,0.38604613664754595,0.23829208973842997
2025-12-31,0.3753346766343463,0.394607748739027,0.2300575746266267
2026-03-31,0.34097683766571635,0.41309572232215197,0.24592744001213185
2026-06-30,0.3242152351671497,0.4196914133089897,0.2560933515238605
2026-09-30,0.3184314576029796,0.4203044390983791,0.26126410329864125
