run_at,name,params,sharpe_daily,n_obs
2026-09-04T02:38:52,book,"{""alloc"": ""erc"", ""oos"": ""quarterly refit""}",0.014330526476769653,5324
2026-09-04T02:38:52,book,"{""alloc"": ""equal"", ""oos"": ""quarterly refit""}",0.014657188062135992,5324
2026-09-04T02:39:04,TrendETF,"{""kill"": true, ""v"": 1}",0.02596546583386438,5577
2026-09-04T02:39:04,FXCarryETF,"{""kill"": true, ""v"": 1}",-0.01968454802834083,1286
2026-09-04T02:39:04,CryptoTrend,"{""kill"": true, ""v"": 1}",0.003865350234397575,798
2026-09-04T02:40:46,TrendETF,"{""signs"": ""long_only"", ""v"": 1}",0.03714501033065728,5577
2026-09-04T02:40:59,book,"{""alloc"": ""equal"", ""cost_scale"": 1.0}",0.016504901644195904,5577
2026-09-04T02:41:12,book,"{""alloc"": ""equal"", ""cost_scale"": 2.0}",0.008187560252909766,5577
2026-09-04T02:41:25,book,"{""alloc"": ""equal"", ""cost_scale"": 4.0}",-0.005647295819542125,5577
2026-09-04T02:41:38,book,"{""alloc"": ""equal"", ""delay"": 1}",0.008373530534004421,5576
2026-09-04T02:41:50,book,"{""alloc"": ""equal"", ""delay"": 2}",0.013499634679195674,5575
2026-09-04T02:42:03,book,"{""alloc"": ""equal"", ""delay"": 5}",0.0017040965747106734,5572
2026-09-04T02:51:50,EWMAC,"{""speeds"": ""combined"", ""v"": 2}",0.04481221500981448,5340
2026-09-04T02:51:50,EWMAC,"{""speeds"": ""16/64"", ""v"": 2}",0.03388234955264106,5340
2026-09-04T02:51:50,EWMAC,"{""speeds"": ""32/128"", ""v"": 2}",0.04429411435582895,5340
2026-09-04T02:51:50,EWMAC,"{""speeds"": ""64/256"", ""v"": 2}",0.03579841683614508,5340
2026-09-04T02:54:43,TrendETF,"{""cost_scale"": 0.0, ""v"": 1}",0.027229589453055123,5577
2026-09-04T02:54:43,EWMAC,"{""cost_scale"": 0.0, ""speeds"": ""combined"", ""v"": 2}",0.053043075275769076,5340
2026-09-04T03:41:06,TrendETF,"{""buffer"": 0.1, ""v"": 1}",0.028883940264249668,5577
2026-09-04T03:41:06,FXCarryETF,"{""buffer"": 0.1, ""v"": 1}",-0.010054593535747284,5072
2026-09-04T03:41:06,CryptoTrend,"{""buffer"": 0.1, ""v"": 1}",0.005513687328194038,798
2026-09-04T03:41:11,TrendETF,"{""buffer"": 0.1, ""lookback"": 3, ""target"": 0.2}",0.013984352104683588,5765
2026-09-04T03:41:15,TrendETF,"{""buffer"": 0.1, ""lookback"": 3, ""target"": 0.4}",0.013984352104683588,5765
2026-09-04T03:41:19,TrendETF,"{""buffer"": 0.1, ""lookback"": 6, ""target"": 0.2}",-0.00036330040790544737,5701
2026-09-04T03:41:24,TrendETF,"{""buffer"": 0.1, ""lookback"": 6, ""target"": 0.4}",-0.00036330040790544737,5701
2026-09-04T03:41:28,TrendETF,"{""buffer"": 0.1, ""lookback"": 9, ""target"": 0.2}",0.03613783145961406,5639
2026-09-04T03:41:32,TrendETF,"{""buffer"": 0.1, ""lookback"": 9, ""target"": 0.4}",0.03613783145961406,5639
2026-09-04T03:41:36,TrendETF,"{""buffer"": 0.1, ""lookback"": 12, ""target"": 0.2}",0.028883940264249668,5577
2026-09-04T03:41:41,TrendETF,"{""buffer"": 0.1, ""lookback"": 12, ""target"": 0.4}",0.028883940264249668,5577
2026-09-04T03:41:51,book,"{""alloc"": ""erc"", ""book"": ""v1"", ""buffer"": 0.1, ""oos"": ""quarterly refit""}",0.016920775056051104,5324
2026-09-04T03:41:51,book,"{""alloc"": ""equal"", ""book"": ""v1"", ""buffer"": 0.1, ""oos"": ""quarterly refit""}",0.017341051621135063,5324
2026-09-04T03:42:00,TrendETF,"{""buffer"": 0.1, ""kill"": true, ""v"": 1}",0.028883940264249668,5577
2026-09-04T03:42:00,FXCarryETF,"{""buffer"": 0.1, ""kill"": true, ""v"": 1}",-0.01950972461388718,1050
2026-09-04T03:42:00,CryptoTrend,"{""buffer"": 0.1, ""kill"": true, ""v"": 1}",0.005513687328194038,798
2026-09-04T03:43:33,TrendETF,"{""buffer"": 0.1, ""signs"": ""long_only"", ""v"": 1}",0.03891983513761537,5577
2026-09-04T03:43:43,book,"{""alloc"": ""equal"", ""book"": ""v1"", ""buffer"": 0.1, ""cost_scale"": 1.0}",0.015604408927433852,5577
