total_return,1.6646898596533566
annual_return,0.04159104682354364
annual_vol,0.08893600202893281
sharpe,0.5026972775085576
sortino,0.6706193011213124
hit_rate,0.46906451080679756
n_periods,6061
max_drawdown,-0.21585678809654185
dd_peak,2020-08-04 00:00:00
dd_trough,2022-11-07 00:00:00
dd_recovery,
calmar,0.1926788922891879
annual_turnover,3.568144244860273
total_cost,10884.770665625418
avg_slippage_bps,2.2701849465175172
avg_gross_exposure,0.8447523025357869
