,pnl,annual_pnl_pct,stand_alone_sharpe
TLT,62119.28368629576,0.02582751936800286,0.2591683190628808
IEF,58247.23707860125,0.02421762703152535,0.6096656837655124
TLH,46107.31018477552,0.01917017351355128,0.2279058821321818
SHY,-4.844984337848018,-2.0144135507964045e-06,-0.0001947848837433204
