,return,vol,sharpe,max_drawdown,periods
2002,0.06356872482101927,0.09007576067035673,1.6416625008307226,-0.05043871904746988,108.0
2003,0.029630886342989493,0.105933094294771,0.3285532294661353,-0.13197011869934516,252.0
2004,0.05992330864765116,0.0963230160637245,0.6522313400906449,-0.10870403305000553,252.0
2005,0.06870586240743415,0.08978644806813112,0.7849115124665873,-0.06995945584757535,252.0
2006,0.0820513797968705,0.06109750283964522,1.326417943608539,-0.03912040291078023,251.0
2007,0.10918620493825659,0.11005196610956444,1.000423796392245,-0.11220498457602956,251.0
2008,0.15830208950753066,0.11189506519887062,1.3642052670735394,-0.06304415461404056,253.0
2009,-0.0559217711344524,0.09030344059869715,-0.592296056117929,-0.07550133553864857,252.0
2010,0.11368359964105457,0.10613752148371931,1.067530793942084,-0.09130053707015962,252.0
2011,0.2052391491718606,0.11512972824466051,1.6793883781495493,-0.03906363704257121,252.0
2012,0.03147767056783635,0.09156552203013142,0.3868275218918276,-0.06868249818827843,250.0
2013,-0.10873783969212492,0.10347425207506078,-1.0605864230065158,-0.14156882520778258,252.0
2014,0.13402214545551083,0.06796427729331735,1.884891836336897,-0.03505329141462399,252.0
2015,0.015091281079533392,0.10451683388989295,0.1953860102698692,-0.10006125997433934,252.0
2016,-0.008667648600921285,0.10525651752758342,-0.03010180040600133,-0.16073111384359762,252.0
2017,0.03768052885733497,0.047146573938257344,0.8111915631981133,-0.029414705362895588,251.0
2018,-0.009795977334467132,0.05169016395938534,-0.16545859498912155,-0.060038378834044615,251.0
2019,0.1234405055757517,0.09501487969714524,1.2725281633630423,-0.06141595315596193,252.0
2020,0.14972059763980328,0.16218168269846778,0.9378144683735321,-0.12779389871183533,253.0
2021,-0.06736196293764618,0.06697012238275417,-1.007813940603124,-0.10867661586524391,252.0
2022,-0.07385839400501315,0.04980120138817757,-1.5217928464266512,-0.0927663859570732,251.0
2023,0.0,0.0,,0.0,250.0
2024,0.007731598417260566,0.02267099841741379,0.35102047071569326,-0.010905939089326244,252.0
2025,0.021646727876937666,0.04476912119132746,0.5045136036394127,-0.03133377457307418,250.0
2026,-0.015146583528495072,0.05401089923048296,-0.4021042827248435,-0.04857246107330293,166.0
