date,model_research,model_gross,model_net,mom_research,mom_gross,mom_net
2021-12-31,-0.0006213032756662417,-0.0006213032756662417,-0.0006411445455075115,0.0020328749831689335,0.0020328749831689335,0.0020130337133276634
2022-01-03,0.0031314911888454342,0.006195320976079477,0.003986544942797905,-0.016522818065276706,-0.01516111593761713,-0.01614181469285093
2022-01-04,0.005376728157721594,0.005376728157721594,0.005356886887880325,0.004311121276002581,0.004311121276002581,0.004291280006161312
2022-01-05,-0.001753339012184791,-0.001753339012184791,-0.0017731802820260608,-0.018433214892959696,-0.018433214892959696,-0.018453056162800966
2022-01-06,0.002236988802463163,0.002236988802463163,0.002217147532621893,0.007295237062489863,0.007295237062489863,0.007275395792648593
2022-01-07,0.0054367376246019245,0.0054367376246019245,0.005416896354760655,-0.02087030381628752,-0.02087030381628752,-0.02089014508612879
2022-01-10,0.0028565526344603055,0.0028565526344603055,0.0028367113646190355,0.01171006063338685,0.01171006063338685,0.011690219363545579
2022-01-11,0.0064553537229486025,0.0064553537229486025,0.006435512453107333,0.000417176114722655,0.000417176114722655,0.0003973348448813852
2022-01-12,0.0002280390852545263,0.0002280390852545263,0.00020819781541325645,0.010003986285401608,0.010003986285401608,0.009984145015560338
2022-01-13,-0.004697830678397497,-0.004697830678397497,-0.004717671948238767,-0.020340885231515015,-0.020340885231515015,-0.020360726501356285
2022-01-14,0.017779125482807787,0.017779125482807787,0.017759284212966516,-0.0035384887909821446,-0.0035384887909821446,-0.0035583300608234146
2022-01-18,-0.007934597067927998,-0.007934597067927998,-0.007954438337769269,-0.004095817820838551,-0.004095817820838551,-0.00411565909067982
2022-01-19,-0.004487414089297988,-0.004487414089297988,-0.004507255359139257,-0.014197256484406461,-0.014197256484406461,-0.014217097754247732
2022-01-20,-0.0018901332414341956,-0.0018901332414341956,-0.0019099745112754654,-0.008842486310203946,-0.008842486310203946,-0.008862327580045216
2022-01-21,-0.0019325638095149087,-0.0019325638095149087,-0.0019524050793561785,-0.005685608361618344,-0.005685608361618344,-0.005705449631459613
2022-01-24,0.00020315957678113117,0.00020315957678113117,0.00018331830693986133,0.007954885834529482,0.007954885834529482,0.007935044564688212
2022-01-25,-0.0037037489355401408,-0.0037037489355401408,-0.003723590205381411,0.0017567576475306778,0.0017567576475306778,0.001736916377689408
2022-01-26,0.009331379521345422,0.009331379521345422,0.009311538251504152,0.009511087971733325,0.009511087971733325,0.009491246701892055
2022-01-27,-0.003216305711353444,-0.003216305711353444,-0.003236146981194714,-0.0016933313869739938,-0.0016933313869739938,-0.0017131726568152636
2022-01-28,-0.0012367378890388763,-0.0012367378890388763,-0.001256579158880146,-7.546458653619192e-05,-7.546458653619192e-05,-9.530585637746177e-05
2022-01-31,0.006569600390136486,0.006569600390136486,0.006549759120295216,0.006068828924063011,0.006068828924063011,0.0060489876542217415
2022-02-01,0.01817206697390601,0.021193343569650688,0.019041621402475464,0.003793359190559612,0.005069954935240463,0.0041493704563500215
