,mom_ic,ridge_ic,lgbm_ic,ensemble_ic,lgbm_no_macro_ic
2011-12-30,-0.4712708070732378,0.3689773649010575,0.1622814669707126,0.32215817750462805,0.18933364962274832
2012-01-31,-0.14559074279405979,0.10968840391178586,-0.044074164766379445,0.03492599349775021,0.034868102212495464
2012-02-29,0.1230068971613793,-0.1689620605745244,0.017150538457221854,-0.08596491742846865,-0.03587206603306754
2012-03-30,0.3123929495858037,-0.13845900103727918,0.03622230533497439,-0.07863532785741562,-0.08218461292891799
2012-04-30,0.3215947464247367,-0.1313964970293796,-0.010933486764476912,-0.08687314762215889,-0.032626168045805724
2012-05-31,-0.04397301629293039,-0.0277294277796538,-0.0915824506984728,-0.0699049537705249,-0.052557688419064615
2012-06-29,0.18562314095120308,-0.1419455460326783,-0.10345538135791899,-0.1512310825290591,-0.1330724070450098
2012-07-31,-0.2708506962650609,0.3088762986836171,0.05761624132400714,0.21455940620171274,0.15280235410594822
2012-08-31,-0.023118267970101223,0.012140974672801178,-0.021914503953187114,-0.011830209261471315,0.009458644969469193
2012-09-28,-0.03194688250728101,0.11698610055642081,0.09308658955562425,0.12069219179828082,0.06344925995166835
2012-10-31,0.06293121436058476,-0.02684718122151844,-0.00197567663103188,-0.015486641514996064,-0.04492514784137266
2012-11-30,-0.0636806708394243,0.11382639267050718,-0.05465497310672284,0.03328907822330195,0.03746477123995682
2012-12-31,-0.016669183811383534,0.04912499740668313,0.04577571410622179,0.054365867910096434,0.059113871203180145
2013-01-31,0.17160092180800876,-0.1486687368134208,-0.07258489936648474,-0.12319046661275733,-0.06521871393395562
2013-02-28,0.12238724247245246,-0.04106848647331221,-0.040074550902496016,-0.04584638792882463,0.01981872661323852
2013-03-28,-0.043145484411461286,0.009647460251465928,0.01720715115195481,0.02803199147088888,-0.034231595245946295
2013-04-30,0.004126660688411912,-0.04188053248378656,-0.08698190920468768,-0.06850428314067523,-0.11310092160655365
2013-05-31,-0.10778420381069806,-0.013653202867220389,0.0044660370918193195,-0.0025922328816143595,-0.11433814996017751
2013-06-28,0.1424331694169259,-0.03377035860528157,0.057598694612634456,0.018744534430660872,0.02455417330692459
2013-07-31,-0.03839199438000889,0.06534472815975864,0.12019768866279648,0.10091263998540914,0.08146025569371944
2013-08-30,0.14174809420866993,0.026378669905191603,-0.04410190644382256,-0.013135799210614212,-0.0025696460051841726
2013-09-30,0.06144175788343067,0.04379531714208547,-0.0003593114254691223,0.024630643677542335,5.817214800656515e-05
2013-10-31,0.27828840757600654,-0.31945005565403795,-0.28579726307978376,-0.3353878247984356,-0.19541835997422335
2013-11-29,0.04779098141131192,-0.017414584963819223,-0.08090614956399762,-0.06004132552393144,-0.11283491583974953
2013-12-31,-0.1123012015526944,0.1661265600863943,-0.03295298039724961,0.10912464157729845,0.057234067639057876
2014-01-31,0.20339109925946494,0.055531348547014345,0.055559535112407174,0.06063473857752205,0.03909413041266827
2014-02-28,-0.1303344268958028,0.020984791970431658,-0.13876055406734258,-0.06520563265171941,-0.004400918924417619
2014-03-31,-0.34644711316407173,0.027121409921671016,-0.01900177172696755,0.005273872618363433,0.0936493336950256
2014-04-30,0.14436235870593797,-0.06510003454406858,0.005444830714876126,-0.03313863039154091,-0.051004414396554724
2014-05-30,0.0467472711303706,0.1399639762575056,0.03489149321177276,0.11716985742263843,0.038977105153752946
2014-06-30,-0.048753658905860975,0.010099341244691014,0.003676590853284605,0.0030724663126333734,-0.10418180636179823
2014-07-31,-0.027345187334454877,0.055201436368105476,-0.010531058255229965,0.02425973374716232,-0.10043410916098926
2014-08-29,0.03137883925930679,-0.2562885242021819,0.04705378899517766,-0.15059343976865833,-0.062336814956661
2014-09-30,-0.07476680211129648,-0.014095394971551121,-0.005802511166516149,0.00025931333950425474,0.01971137282403283
2014-10-31,0.10579484382873935,-0.22840178664258384,0.023793700270524274,-0.1505399580051343,-0.11086480106171093
2014-11-28,0.06326125492700027,-0.12933859839751233,0.08406660671872974,-0.05392762316241945,-0.10141062549447288
2014-12-31,0.2594356791216927,-0.19589149135798511,0.1019363512332778,-0.07470852949601456,-0.2286257767500206
2015-01-30,-0.24715067537986715,0.267331798935435,0.2752461118506755,0.3055442015542338,0.14799675452419733
2015-02-27,0.18568863189480883,-0.16157320611524778,0.14959618912176129,-0.02365400290699896,-0.06429000949280504
2015-03-31,-0.4583385959760605,0.3415117966717891,0.16073089775956184,0.30414584340688927,0.19931566011184285
2015-04-30,0.42109004867190875,-0.3674340267028053,0.030047568144336123,-0.25654337792482623,-0.21651294153382442
2015-05-29,0.06823769235410077,-0.2164529702343749,0.13073490154387155,-0.06587388567001541,-0.10739418862531373
2015-06-30,0.326874221644309,-0.13491713358435292,0.13294182780520186,0.012361279694450798,0.04519086860699589
2015-07-31,0.009723095830929904,0.0770705480966317,-0.019287837075569317,0.04868805996646773,0.082522135116407
2015-08-31,0.27129362045027006,-0.22199296534782448,0.028272974280716123,-0.10667270508192814,-0.030332936315926606
2015-09-30,-0.06296753363986653,-0.011497923985946982,0.014840851145593801,-0.002439966609087778,0.027055470259444003
2015-10-30,0.08742263951335626,0.03182225374124391,-0.06029644666625842,-0.014581801437708182,0.04750337446247866
2015-11-30,0.3348311551947199,-0.3488685485954178,0.1258011022777155,-0.14664429035178048,-0.21103560273925592
2015-12-31,0.05624036922618827,-0.1420819834612938,0.18410843374088093,0.0783294054279407,-0.11826111826111826
2016-01-29,-0.23132366568014898,0.19571669216699644,-0.05630992547828248,0.0926112875939077,-0.014633439582729644
2016-02-29,-0.26467671397681647,0.22847831958831594,0.19337713497946138,0.23510039969951185,0.14951608886144954
2016-03-31,-0.30910295911015023,0.18480027687774017,0.20938330013351425,0.22329538917718517,0.16265074402313173
