date,model_research,model_gross,model_net,mom_research,mom_gross,mom_net
2021-12-31,-0.0010877926968826104,-0.0010877926968826104,-0.0011076339667238802,0.0020328749831689335,0.0020328749831689335,0.0020130337133276634
2022-01-03,0.013974390369609095,0.016527581858970797,0.014701081937631776,-0.016522818065276706,-0.01516111593761713,-0.01614181469285093
2022-01-04,0.0102443519380426,0.0102443519380426,0.01022451066820133,0.004311121276002581,0.004311121276002581,0.004291280006161312
2022-01-05,-0.0007408777182900369,-0.0007408777182900369,-0.0007607189881313067,-0.018433214892959696,-0.018433214892959696,-0.018453056162800966
2022-01-06,0.0024626737004415323,0.0024626737004415323,0.0024428324306002623,0.007295237062489863,0.007295237062489863,0.007275395792648593
2022-01-07,0.010139917044173177,0.010139917044173177,0.010120075774331907,-0.02087030381628752,-0.02087030381628752,-0.02089014508612879
2022-01-10,-0.0006973540576155673,-0.0006973540576155673,-0.0007171953274568372,0.01171006063338685,0.01171006063338685,0.011690219363545579
2022-01-11,0.007462550594174539,0.007462550594174539,0.007442709324333269,0.000417176114722655,0.000417176114722655,0.0003973348448813852
2022-01-12,-0.004291459801821188,-0.004291459801821188,-0.004311301071662457,0.010003986285401608,0.010003986285401608,0.009984145015560338
2022-01-13,0.0031734432004397175,0.0031734432004397175,0.0031536019305984475,-0.020340885231515015,-0.020340885231515015,-0.020360726501356285
2022-01-14,0.013980794330657558,0.013980794330657558,0.013960953060816288,-0.0035384887909821446,-0.0035384887909821446,-0.0035583300608234146
2022-01-18,-0.005017670018131488,-0.005017670018131488,-0.005037511287972757,-0.004095817820838551,-0.004095817820838551,-0.00411565909067982
2022-01-19,0.0030398576544618063,0.0030398576544618063,0.0030200163846205363,-0.014197256484406461,-0.014197256484406461,-0.014217097754247732
2022-01-20,-0.00020573955359795126,-0.00020573955359795126,-0.0002255808234392211,-0.008842486310203946,-0.008842486310203946,-0.008862327580045216
2022-01-21,-0.002818490029197304,-0.002818490029197304,-0.002838331299038574,-0.005685608361618344,-0.005685608361618344,-0.005705449631459613
2022-01-24,2.8336865556199096e-05,2.8336865556199096e-05,8.495595714929259e-06,0.007954885834529482,0.007954885834529482,0.007935044564688212
2022-01-25,0.0020031371654874335,0.0020031371654874335,0.0019832958956461635,0.0017567576475306778,0.0017567576475306778,0.001736916377689408
2022-01-26,0.0022325446175124183,0.0022325446175124183,0.0022127033476711483,0.009511087971733325,0.009511087971733325,0.009491246701892055
2022-01-27,0.0038184469661242237,0.0038184469661242237,0.0037986056962829536,-0.0016933313869739938,-0.0016933313869739938,-0.0017131726568152636
2022-01-28,-0.002113941809310942,-0.002113941809310942,-0.002133783079152212,-7.546458653619192e-05,-7.546458653619192e-05,-9.530585637746177e-05
2022-01-31,0.0023618247031447796,0.0023618247031447796,0.0023419834333035096,0.006068828924063011,0.006068828924063011,0.0060489876542217415
2022-02-01,0.001328013826678825,0.0044343968054022295,0.0022201929824086533,0.003793359190559612,0.005069954935240463,0.0041493704563500215
2022-02-02,-0.01602834310131893,-0.01602834310131893,-0.0160481843711602,0.020374895312783102,0.020374895312783102,0.02035505404294183
2022-02-03,-0.014278641542665147,-0.014278641542665147,-0.014298482812506418,-0.0078098077511690525,-0.0078098077511690525,-0.007829649021010323
2022-02-04,0.0018621622563547505,0.0018621622563547505,0.0018423209865134807,0.0010681488486582917,0.0010681488486582917,0.001048307578817022
2022-02-07,-0.00041197211112014524,-0.00041197211112014524,-0.00043181338096141505,-0.005039453016859912,-0.005039453016859912,-0.005059294286701182
2022-02-08,0.002178167784568999,0.002178167784568999,0.002158326514727729,-0.0007627756368543662,-0.0007627756368543662,-0.000782616906695636
2022-02-09,0.019703603347878896,0.019703603347878896,0.019683762078037625,-0.0008741462122766677,-0.0008741462122766677,-0.0008939874821179375
2022-02-10,-0.00562320866840334,-0.00562320866840334,-0.005643049938244609,-0.005007181373307504,-0.005007181373307504,-0.005027022643148774
2022-02-11,-0.02103879231034752,-0.02103879231034752,-0.02105863358018879,-0.007008771613415058,-0.007008771613415058,-0.0070286128832563275
2022-02-14,-0.00027262408514550963,-0.00027262408514550963,-0.00029246535498677945,-0.008727191062845495,-0.008727191062845495,-0.008747032332686765
2022-02-15,0.019010458977088487,0.019010458977088487,0.018990617707247217,0.0017220163659546596,0.0017220163659546596,0.0017021750961133898
2022-02-16,-0.0037008924375417527,-0.0037008924375417527,-0.0037207337073830228,0.00993852333482203,0.00993852333482203,0.00991868206498076
2022-02-17,-0.010144861856491117,-0.010144861856491117,-0.010164703126332388,-0.006549495327655398,-0.006549495327655398,-0.006569336597496668
2022-02-18,-0.004994056467954703,-0.004994056467954703,-0.0050138977377959726,0.003186109665498076,0.003186109665498076,0.003166268395656806
2022-02-22,-0.003901844995141214,-0.003901844995141214,-0.003921686264982484,-0.0071393795492600345,-0.0071393795492600345,-0.007159220819101304
2022-02-23,-0.00882314324629908,-0.00882314324629908,-0.00884298451614035,-0.009482478954414706,-0.009482478954414706,-0.009502320224255976
2022-02-24,0.03766001690250806,0.03766001690250806,0.03764017563266679,0.01018800362089227,0.01018800362089227,0.010168162351050999
2022-02-25,-0.016143290667942366,-0.016143290667942366,-0.016163131937783636,0.005437721674860857,0.005437721674860857,0.005417880405019587
2022-02-28,0.006328916990987697,0.006328916990987697,0.006309075721146427,0.00043983413116149405,0.00043983413116149405,0.00041999286132022424
2022-03-01,-0.009566492876730387,-0.006885641812900601,-0.008826616261637728,0.011425401333785992,0.01312752899336046,0.01190344727579855
2022-03-02,0.002822253691414448,0.002822253691414448,0.002802412421573178,0.008735458779094589,0.008735458779094589,0.008715617509253318
2022-03-03,-0.028029931203240592,-0.028029931203240592,-0.028049772473081862,0.028084062959921545,0.028084062959921545,0.028064221690080274
2022-03-04,-0.023821823572118428,-0.023821823572118428,-0.0238416648419597,0.040153302058359056,0.040153302058359056,0.04013346078851779
2022-03-07,-0.025391777847916984,-0.025391777847916984,-0.025411619117758254,0.03973350735662358,0.03973350735662358,0.03971366608678231
2022-03-08,0.021908575711426192,0.021908575711426192,0.02188873444158492,-0.018300874945141023,-0.018300874945141023,-0.018320716214982293
2022-03-09,0.028696886778359774,0.028696886778359774,0.028677045508518503,-0.025647654680677232,-0.025647654680677232,-0.025667495950518503
2022-03-10,-0.019994829080370286,-0.019994829080370286,-0.020014670350211556,0.01842293245455686,0.01842293245455686,0.01840309118471559
2022-03-11,-0.006356187194164927,-0.006356187194164927,-0.006376028464006197,0.014079019532139098,0.014079019532139098,0.014059178262297828
2022-03-14,-0.003946861939615392,-0.003946861939615392,-0.0039667032094566615,0.01087534007169384,0.01087534007169384,0.01085549880185257
2022-03-15,0.01499119493701202,0.01499119493701202,0.014971353667170749,-0.02540926438500595,-0.02540926438500595,-0.025429105654847222
2022-03-16,0.043030825037180705,0.043030825037180705,0.04301098376733944,-0.0410688193856335,-0.0410688193856335,-0.041088660655474764
2022-03-17,-0.004639133956583057,-0.004639133956583057,-0.004658975226424326,0.009393618831236744,0.009393618831236744,0.009373777561395473
2022-03-18,0.01070952424422996,0.01070952424422996,0.01068968297438869,-0.011966317272925579,-0.011966317272925579,-0.011986158542766849
2022-03-21,-0.017332630462630658,-0.017332630462630658,-0.017352471732471928,0.025158540360347766,0.025158540360347766,0.025138699090506495
2022-03-22,0.006979799618527765,0.006979799618527765,0.006959958348686495,-0.015456700945749864,-0.015456700945749864,-0.015476542215591135
