date,mom_research,mom_gross,mom_net,ridge_research,ridge_gross,ridge_net,lgbm_research,lgbm_gross,lgbm_net,ensemble_research,ensemble_gross,ensemble_net,lgbm_no_macro_research,lgbm_no_macro_gross,lgbm_no_macro_net
2011-12-27,0.02223022536118028,0.02223022536118028,0.02221038409133901,-0.014980979283070604,-0.014980979283070604,-0.015000820552911874,-0.0097355600763744,-0.0097355600763744,-0.009755401346215671,-0.015233633229345445,-0.015233633229345445,-0.015253474499186716,-0.007583558804484091,-0.007583558804484091,-0.007603400074325361
2011-12-28,0.002469808598805215,0.002469808598805215,0.002449967328963945,-0.0072226511668594395,-0.0072226511668594395,-0.007242492436700709,0.0008526065654066222,0.0008526065654066222,0.0008327652955653524,-0.004398865615938517,-0.004398865615938517,-0.004418706885779787,0.00014067047286814858,0.00014067047286814858,0.00012082920302687873
2011-12-29,-0.005163262310615495,-0.005163262310615495,-0.005183103580456765,0.006175163433679311,0.006175163433679311,0.006155322163838042,0.005208979130569347,0.005208979130569347,0.005189137860728077,0.008055523286448674,0.008055523286448674,0.008035682016607404,0.0038971488409692335,0.0038971488409692335,0.0038773075711279635
2011-12-30,-0.005677858368691667,-0.005677858368691667,-0.005697699638532936,0.0034278210759775283,0.0034278210759775283,0.0034079798061362582,0.004154264458294109,0.004154264458294109,0.004134423188452839,0.005204103282414392,0.005204103282414392,0.0051842620125731225,0.006946945129749804,0.006946945129749804,0.0069271038599085346
2012-01-03,-0.03662245874322434,-0.03536531588608148,-0.03698788558957763,0.018208412320243686,0.019819523431354798,0.018566435421365,0.01455536874869276,0.01744425763758165,0.015268266372376244,0.022341028533595812,0.024674361866929145,0.022905162866259633,0.018475841204961995,0.02130917453829533,0.019171988226669878
2012-01-04,0.0032421404219410595,0.0032421404219410595,0.0032222991520997894,0.0006907899923734473,0.0006907899923734473,0.0006709487225321775,0.0032665803959256974,0.0032665803959256974,0.0032467391260844274,-0.004151458343508351,-0.004151458343508351,-0.004171299613349621,-0.00035889563536633173,-0.00035889563536633173,-0.00037873690520760154
2012-01-05,-0.005909284529369838,-0.005909284529369838,-0.005929125799211107,0.004592752535863041,0.004592752535863041,0.004572911266021771,-0.002813403227518625,-0.002813403227518625,-0.002833244497359895,0.0017296633968376784,0.0017296633968376784,0.0017098221269964086,0.0012421050135944674,0.0012421050135944674,0.0012222637437531976
2012-01-06,-0.0018981711527411905,-0.0018981711527411905,-0.0019180124225824603,0.005236582510455173,0.005236582510455173,0.005216741240613903,0.00540814623210641,0.00540814623210641,0.00538830496226514,0.005161206376648901,0.005161206376648901,0.0051413651068076315,0.00451085217210081,0.00451085217210081,0.004491010902259541
2012-01-09,-0.017487480883558545,-0.017487480883558545,-0.017507322153399816,0.009723882610304498,0.009723882610304498,0.009704041340463227,0.004171333402432472,0.004171333402432472,0.0041514921325912025,0.01070172624864347,0.01070172624864347,0.0106818849788022,0.007459198693387782,0.007459198693387782,0.007439357423546513
2012-01-10,-0.019834840687203988,-0.019834840687203988,-0.019854681957045258,0.010372601029053536,0.010372601029053536,0.010352759759212266,0.016381296566756527,0.016381296566756527,0.016361455296915257,0.012066002322977974,0.012066002322977974,0.012046161053136703,0.015110692921427617,0.015110692921427617,0.015090851651586346
2012-01-11,-0.021479263619734804,-0.021479263619734804,-0.021499104889576074,0.005660730549348524,0.005660730549348524,0.005640889279507255,0.0057008381304073765,0.0057008381304073765,0.005680996860566107,0.00846650365229599,0.00846650365229599,0.00844666238245472,0.007317989395205516,0.007317989395205516,0.007298148125364247
