,,state_0,state_1,state_2
last_refit,state_0,0.9792818774402509,0.019842422081558318,0.000875700478190758
last_refit,state_1,0.026862470902680645,0.9621304396418144,0.011007089455504871
last_refit,state_2,1.09889374596121e-94,0.019803154176857164,0.9801968458231428
mean_over_refits,state_0,0.9228973182858388,0.039865930051301006,0.037236751662859856
mean_over_refits,state_1,0.07580783175435,0.842860576397315,0.08133159184833498
mean_over_refits,state_2,0.035242348286321855,0.09384113735470063,0.8709165143589775
