,book,overlay,avg_scale,half_size_book,half_size_overlay
2003,0.08305438905839857,0.08305438905839857,1.0,0.0,0.0
2004,0.08914080815440895,0.08914080815440895,1.0,0.0,0.0
2005,0.09765441389604002,0.09765441389604002,1.0,0.0,0.0
2006,0.1287474460719633,0.12023054117062837,0.8869250867648137,0.0,0.0
2007,0.20327568245269512,-0.0025762396606870963,0.6752970170515821,0.0,0.0
2008,0.007232800309670218,-0.017110526915472102,0.624689690160113,0.1482213438735178,0.1600790513833992
2009,0.007246148797301677,-0.02140020133387477,0.31490609831389094,0.5,0.5
2010,0.11786449786709396,0.07193703210414526,0.731479889698692,0.4166666666666667,0.5
2011,0.06540630696703809,0.041912126099189706,0.6133347475203927,0.0,0.5
2012,-0.019005948971369535,-0.025746210045586748,0.9991240233991119,0.0,0.5
2013,0.035208416342126236,0.0634981426643435,0.9998479954816095,0.3611111111111111,0.5
2014,0.05958671073873156,0.05917215061724068,0.9997015302853127,0.5,0.5
2015,-0.020187291988662426,-0.002989603339725422,0.8785415808398929,0.5,0.5
2016,0.021376351381727554,0.022943730979392063,0.8671777235615833,0.5,0.5
2017,0.10748864610772446,0.10721890226826569,0.9999999993952026,0.5,0.5
2018,-0.028432631312251933,-0.02175223601303422,0.65838242216127,0.5318725099601593,0.5
2019,0.05068215091552997,0.07056199585453538,0.8506389925749424,0.9027777777777778,0.7817460317460317
2020,0.05805819555618119,0.05121268406592039,0.3923905131603892,0.5889328063241107,0.5
2021,0.044282515771897124,0.039488615137514005,0.9934885721011869,0.17063492063492064,0.5
2022,0.09063195391109269,0.025036964554761454,0.2459235513623127,0.13745019920318724,0.5
2023,-0.06415671220369612,-0.059089184432370545,0.9901681051988304,0.908,0.5
2024,0.05109953741884432,0.02941210026055896,0.929873801340646,0.623015873015873,0.5
2025,0.12438251102407016,0.14677909440667825,0.8416692973811487,0.5,0.05
2026,0.05205218655798083,0.04359898710162069,0.9912144730662564,0.5,0.0
