time,equity,funding,fees
2020-01-01 08:00:00+00:00,0.9988669202093993,0.0,0.001133079790600703
2020-01-01 16:00:00+00:00,0.9988143384875371,-6.460234740624951e-05,0.0
2020-01-02 00:00:00+00:00,0.9987074080895851,2.4371819529725384e-05,0.0
2020-01-02 08:00:00+00:00,0.9987481631882952,6.572101330174683e-05,0.0
2020-01-02 16:00:00+00:00,0.998907890606741,6.852958622695218e-07,0.0
2020-01-03 00:00:00+00:00,0.9987991642016709,-1.0712073710475835e-05,0.0
2020-01-03 08:00:00+00:00,0.9989293766800419,-1.033637414474405e-05,0.0
2020-01-03 16:00:00+00:00,0.9989027094770704,6.764847437456917e-05,0.0
2020-01-04 00:00:00+00:00,0.9988846019766161,6.788620536129146e-05,0.0
2020-01-04 08:00:00+00:00,0.998953597507181,5.704313139144751e-07,0.0
2020-01-04 16:00:00+00:00,0.9989628804159782,4.996810294648648e-05,0.0
2020-01-05 00:00:00+00:00,0.999017904459541,6.796933261024647e-05,0.0
2020-01-05 08:00:00+00:00,0.9988326294484335,6.900745232550558e-05,0.0
2020-01-05 16:00:00+00:00,0.9992881518856246,6.90130927728763e-05,0.0
2020-01-06 00:00:00+00:00,0.9993154697743034,6.80030828281203e-05,0.0
2020-01-06 08:00:00+00:00,0.9992156555854343,6.939923225189314e-05,0.0
2020-01-06 16:00:00+00:00,0.9994247767436308,6.949696918420175e-05,0.0
2020-01-07 00:00:00+00:00,0.9991765729256028,7.17297541458444e-05,0.0
2020-01-07 08:00:00+00:00,0.9988888792259363,7.29250666566803e-05,0.0
2020-01-07 16:00:00+00:00,0.9988469837397275,7.183812470844203e-05,0.0
2020-01-08 00:00:00+00:00,0.9986925836682139,9.433441089919365e-05,0.0
2020-01-08 08:00:00+00:00,0.9990467433825669,7.676066333510405e-05,0.0
2020-01-08 16:00:00+00:00,0.9994739970071322,7.680615677947098e-05,0.0
2020-01-09 00:00:00+00:00,0.999230439160877,7.452639891185599e-05,0.0
2020-01-09 08:00:00+00:00,0.999298436695724,7.354551586745688e-05,0.0
2020-01-09 16:00:00+00:00,0.9995176687719312,7.31352426710015e-05,0.0
2020-01-10 00:00:00+00:00,0.9997295886091534,7.229564820992081e-05,0.0
2020-01-10 08:00:00+00:00,0.9999344234896799,7.168333603797408e-05,0.0
2020-01-10 16:00:00+00:00,0.9999452113538413,7.458964589548805e-05,0.0
2020-01-11 00:00:00+00:00,0.9990973604798725,7.588796592060191e-05,0.0
2020-01-11 08:00:00+00:00,0.9996671263803908,0.00013332472691681587,0.0
2020-01-11 16:00:00+00:00,1.000055500678629,7.491337058802588e-05,0.0
2020-01-12 00:00:00+00:00,1.000260041423695,7.416319108772328e-05,0.0
2020-01-12 08:00:00+00:00,1.0003820743518872,7.487508951898542e-05,0.0
2020-01-12 16:00:00+00:00,1.0003021318289704,7.540094565336492e-05,0.0
2020-01-13 00:00:00+00:00,1.0003778312560028,7.569942703226012e-05,0.0
2020-01-13 08:00:00+00:00,1.0006975274670553,7.46603826534976e-05,0.0
2020-01-13 16:00:00+00:00,1.0005966083977662,7.47669963554388e-05,0.0
2020-01-14 00:00:00+00:00,1.0005153582157231,7.501795003025961e-05,0.0
2020-01-14 08:00:00+00:00,1.0004529917216447,0.00020393659489890888,0.0
2020-01-14 16:00:00+00:00,1.0000728255688598,8.031627190470048e-05,0.0
2020-01-15 00:00:00+00:00,1.0000625473792215,0.00040304639637827797,0.0
