symbol,mark,margin buffer,annual return,sharpe,max drawdown,liquidated,equity then
BTCUSDT,spot,0.1,-0.010557167556992986,-0.19427552488171249,-0.12412391734098926,2020-03-13,0.9324939339713579
BTCUSDT,spot,0.2,0.06632305130499572,3.2351332115559703,-0.0403723915031069,2023-10-24,1.5263655562833067
BTCUSDT,spot,0.3,0.09311435866920759,7.521798450898807,-0.01436533826656372,,
BTCUSDT,spot,0.5,0.08414771436045188,7.8596107489459905,-0.01130254210230175,,
BTCUSDT,spot,1.0,0.06448211754158595,7.045585313060842,-0.011170004255426913,,
BTCUSDT,perp,0.1,0.008810815094775215,1.6209127977294204,-0.013920421853791165,2020-04-29,1.0594697163430284
BTCUSDT,perp,0.2,0.03989524615809992,1.311435541033126,-0.0765112632598357,2021-07-26,1.293847416713056
BTCUSDT,perp,0.3,0.017623867319567443,0.2990498396819454,-0.17544722862638873,2021-07-26,1.1219285823946608
BTCUSDT,perp,0.5,0.006660463590703047,0.13097084318172464,-0.2103703354217642,2021-07-26,1.0446859495198335
BTCUSDT,perp,1.0,0.06448211754158595,7.045585313060842,-0.011170004255426913,,
ETHUSDT,spot,0.1,-0.005411290728862039,-0.36287136030906075,-0.03613274419831902,2020-01-15,0.9648986434479538
ETHUSDT,spot,0.2,0.03972648252159394,2.56170140411952,-0.005481988218769884,2021-01-03,1.2924652612546799
ETHUSDT,spot,0.3,0.11195543971388755,8.369596677647877,-0.01538517984618204,,
ETHUSDT,spot,0.5,0.1011489476499261,8.345638607957824,-0.01216752092731499,,
ETHUSDT,spot,1.0,0.08052748798023313,8.151210784863757,-0.010912252896002061,,
ETHUSDT,perp,0.1,-0.005411290728862039,-0.36287136030906075,-0.03613274419831902,2020-01-15,0.9648986434479538
ETHUSDT,perp,0.2,0.03643419610944898,3.779761740359048,-0.005481988495134593,2021-01-03,1.265751201607061
ETHUSDT,perp,0.3,0.11175654876438523,8.366643936881328,-0.015385179846182262,,
ETHUSDT,perp,0.5,0.10083733370475079,8.31938798843132,-0.012167520927314879,,
ETHUSDT,perp,1.0,0.08103567684091617,8.142751794015737,-0.010912252896002617,,
