episode,"BTCUSDT funding, ann.",BTCUSDT % negative,BTCUSDT carry P&L,"ETHUSDT funding, ann.",ETHUSDT % negative,ETHUSDT carry P&L
Mar 2020 covid crash,-0.15030867291666666,0.5833333333333334,-0.0029075017254022173,0.0841460354166667,0.06944444444444445,0.003231832022362102
May 2021 China ban,0.03790876481481482,0.3004115226337449,0.0032836649649556904,0.07727185185185186,0.13991769547325103,0.010358948235084542
Jun 2022 3AC and Celsius,0.05294815655737706,0.17486338797814208,0.005559725412138006,0.019802985245901635,0.33879781420765026,0.0018917662303823413
Nov 2022 FTX,0.013732068421052632,0.24561403508771928,0.0013879153234763741,0.012088671929824565,0.3508771929824561,0.0014060132536710679
