symbol,spot bps,perp bps,annual return,sharpe,fees paid
BTCUSDT,0.0,0.0,0.0864539040347796,8.077855349481958,0.002614626800343552
BTCUSDT,5.0,2.0,0.0853773851135824,7.981111694754198,0.01172680773405064
BTCUSDT,10.0,5.0,0.08414771436045188,7.8596107489459905,0.022066347719639216
BTCUSDT,20.0,10.0,0.08184388336590542,7.60282521703958,0.04124120101145683
BTCUSDT,40.0,20.0,0.07724329676381658,6.997852791594507,0.07877386733618089
ETHUSDT,0.0,0.0,0.10403459191400932,8.57529431137237,0.0035780661489728536
ETHUSDT,5.0,2.0,0.10268744874887381,8.473849378079363,0.016033486289132842
ETHUSDT,10.0,5.0,0.1011489476499261,8.345638607957824,0.030140283192908592
ETHUSDT,20.0,10.0,0.09826746024828825,8.072514278855172,0.05622608313430026
ETHUSDT,40.0,20.0,0.0922064997160752,7.381591794166977,0.10683409922204223
