time,equity,funding,fees
2020-01-01 08:00:00+00:00,0.9988668816543816,0.0,0.0011331183456183454
2020-01-01 16:00:00+00:00,0.998962703918407,-0.00010892794072481568,0.0
2020-01-02 00:00:00+00:00,0.9992011989603807,3.374483722358722e-05,0.0
2020-01-02 08:00:00+00:00,0.9983971858563675,6.617526617526616e-05,0.0
2020-01-02 16:00:00+00:00,0.9991289016630834,6.627764127764126e-05,0.0
2020-01-03 00:00:00+00:00,0.9990404035058352,6.506449631449631e-05,0.0
2020-01-03 08:00:00+00:00,0.998901593104525,6.593980343980342e-05,0.0
2020-01-03 16:00:00+00:00,0.999174141220823,6.779791154791154e-05,0.0
2020-01-04 00:00:00+00:00,0.9991405058809376,6.873976248976247e-05,0.0
2020-01-04 08:00:00+00:00,0.9992602028506345,6.85094185094185e-05,0.0
2020-01-04 16:00:00+00:00,0.9992260146851963,6.818693693693693e-05,0.0
2020-01-05 00:00:00+00:00,0.999345865217547,6.866298116298114e-05,0.0
2020-01-05 08:00:00+00:00,0.9993130949472768,6.960483210483209e-05,0.0
2020-01-05 16:00:00+00:00,0.9997927939644757,7.019860769860768e-05,0.0
2020-01-06 00:00:00+00:00,0.9994525656679973,6.927211302211301e-05,0.0
2020-01-06 08:00:00+00:00,0.9997283590750409,7.104320229320228e-05,0.0
2020-01-06 16:00:00+00:00,0.9996977182068999,7.173423423423422e-05,0.0
2020-01-07 00:00:00+00:00,1.0000273865115683,7.373054873054871e-05,0.0
2020-01-07 08:00:00+00:00,0.9998957321299138,7.30958230958231e-05,0.0
2020-01-07 16:00:00+00:00,0.9997111805328621,7.138615888615888e-05,0.0
2020-01-08 00:00:00+00:00,0.9993748066589884,7.312653562653563e-05,0.0
2020-01-08 08:00:00+00:00,0.9996018695173012,7.350020475020474e-05,0.0
2020-01-08 16:00:00+00:00,0.9995719094435911,7.241502866502866e-05,0.0
2020-01-09 00:00:00+00:00,0.9997463310242627,7.204647829647829e-05,0.0
2020-01-09 08:00:00+00:00,1.000073885283067,7.161650286650286e-05,0.0
2020-01-09 16:00:00+00:00,1.0004517108358926,7.07002457002457e-05,0.0
2020-01-10 00:00:00+00:00,1.0001638985918304,7.050061425061423e-05,0.0
2020-01-10 08:00:00+00:00,1.0001314661593979,6.994266994266993e-05,0.0
2020-01-10 16:00:00+00:00,1.0006650605492422,7.290642915642915e-05,0.0
2020-01-11 00:00:00+00:00,1.0005344299186116,7.411957411957412e-05,0.0
2020-01-11 08:00:00+00:00,1.0006587542429362,7.313677313677312e-05,0.0
2020-01-11 16:00:00+00:00,1.0005274069865888,7.340294840294839e-05,0.0
2020-01-12 00:00:00+00:00,1.0004467354059172,7.289107289107289e-05,0.0
2020-01-12 08:00:00+00:00,1.000623096994779,7.398648648648648e-05,0.0
2020-01-12 16:00:00+00:00,1.0003390009669328,7.421683046683046e-05,0.0
2020-01-13 00:00:00+00:00,1.0006187767654589,7.502559377559376e-05,0.0
2020-01-13 08:00:00+00:00,1.0007431062085383,7.314189189189188e-05,0.0
2020-01-13 16:00:00+00:00,1.0010209573551394,7.310094185094184e-05,0.0
2020-01-14 00:00:00+00:00,1.0009920773387593,7.3495085995086e-05,0.0
2020-01-14 08:00:00+00:00,1.0006077048981368,7.631552006552006e-05,0.0
2020-01-14 16:00:00+00:00,1.000943536183968,7.98935298935299e-05,0.0
2020-01-15 00:00:00+00:00,1.0002733296371533,9.795499999999998e-05,0.00030747358612670533
2020-01-15 08:00:00+00:00,1.0005257842248456,0.0001316406776193585,0.0
2020-01-15 16:00:00+00:00,1.0002914746541445,0.00020867476623261257,0.0
2020-01-16 00:00:00+00:00,1.0004469093607296,0.00011516340322743212,0.0
2020-01-16 08:00:00+00:00,1.0008572542476655,0.00024925967350543734,0.0
2020-01-16 16:00:00+00:00,1.0009729654936494,0.0002767964594145049,0.0
