window,buy_and_hold,buy_and_hold_exp,vol_target_15,vol_target_15_exp,hmm_2state,hmm_2state_exp,hmm_3state,hmm_3state_exp
2011 Aug debt-ceiling,-0.17838703601803696,1.0,-0.1475269571707587,0.522762491445122,-0.1011042423762204,0.1969624852459114,-0.19738559163848912,0.5163317367946328
2015 Aug,-0.10576884674713938,1.0,-0.09418844982173158,0.9157885057950238,-0.04966252116562997,0.6811786386580562,-0.09094506256500123,0.8468345775536136
2018 Q4,-0.1892248974307561,1.0,-0.1552349257366591,0.7692816146423973,-0.07133942706142649,0.25558378314020286,-0.18545180044210352,0.9586808069433009
2020 Covid crash,-0.3340033854742772,1.0,-0.1458924266222439,0.467360425023736,-0.04563092360093768,0.17237199328113484,-0.09938964799313921,0.25787767397948297
2020 recovery,0.6982984312245728,1.0,0.265256366873202,0.6867691335852703,0.10513978888352926,0.4276069548350219,0.27383847614249324,0.7895535600817436
2022 full year,-0.1817536377742074,1.0,-0.14713992710540935,0.6596836803984769,-0.07139775309887808,0.25820312691187963,-0.14277591003600287,0.8492879275702645
