Date,buy_and_hold,vol_target_15,hmm_2state,hmm_3state,trap_insample_smoothed,trap_insample_filtered
2010-01-04,1.0,1.0,0.9438452076367626,0.9977371108755739,0.9926228835343899,0.9049086356003968
2010-01-05,1.0,1.0,0.9742432701911894,0.9989372857018108,0.9952841384510416,0.9596663307271676
2010-01-06,1.0,1.0,0.9864419543745889,0.9994930909594406,0.995494263156057,0.9810678900202626
2010-01-07,1.0,1.0,0.9901987241902397,0.9997101866116513,0.9934364213333388,0.9878726089772968
2010-01-08,1.0,1.0,0.992005979413665,0.9998412598665528,0.9872449880562888,0.9908624330855322
2010-01-11,1.0,1.0,0.9930034734133819,0.9999142321545703,0.96991650386825,0.9922726017361991
2010-01-12,1.0,1.0,0.9860920551349389,0.9997949823713739,0.9202663083023455,0.9805608044641568
2010-01-13,1.0,1.0,0.9861769544154814,0.9997503113251147,0.8688351826526074,0.9819782639207644
2010-01-14,1.0,1.0,0.9906431531201879,0.9998633562122916,0.7766398928265053,0.9889176587737022
2010-01-15,1.0,1.0,0.9787201007324167,0.9994869875988621,0.5178406941610354,0.9668207139682766
2010-01-19,1.0,1.0,0.9691524118216646,0.9986818623042272,0.33562439802471944,0.9511618905882888
2010-01-20,1.0,1.0,0.9634671294481195,0.9976638378317809,0.16769377390595064,0.9324335123191047
2010-01-21,1.0,0.9476228555621009,0.7427823193964458,0.9855938054385662,0.018379795123530385,0.42509800639748596
2010-01-22,1.0,0.8289512195375909,0.12954371580963386,0.9656865686607397,0.009313769178336817,0.013653522494477044
2010-01-25,1.0,0.8485569804036203,0.28729996143164127,0.9826467249275302,0.02928082634450635,0.09928433360026234
2010-01-26,1.0,0.8910664957634874,0.48982019717023795,0.9900955653307192,0.03562247515064776,0.23606527114275166
2010-01-27,1.0,0.914648779440684,0.7034176184490664,0.993314306093714,0.03489543811213636,0.46286002887225364
2010-01-28,1.0,0.9230850412116459,0.6787260533198077,0.9920548509950377,0.02494338820058062,0.3702445982666279
2010-01-29,1.0,0.941967407636496,0.6775341159860443,0.9917094222437585,0.018403745412896577,0.31908330034267973
2010-02-01,1.0,0.8472601619334093,0.5474798670093542,0.9884690014390796,0.013236181310959716,0.18656412529946464
2010-02-02,1.0,0.828571204152835,0.572056202812315,0.9892331324389616,0.011666992529040576,0.20480684355873002
2010-02-03,1.0,0.8643350578813302,0.7411520740408905,0.9925529377243005,0.009350451869915566,0.36755762075747445
2010-02-04,1.0,0.6862819933710271,0.0042777229602205535,0.920591186905694,0.0019622939546162232,0.00012867364049118368
2010-02-05,1.0,0.7151199343547029,0.0614531373658731,0.9650300422078927,0.4669388951335267,0.0799083027060914
2010-02-08,1.0,0.7483539994562379,0.12727836996718433,0.9808563754655129,0.6304005052848911,0.15009263493148872
2010-02-09,1.0,0.7292662979997309,0.1447051530601694,0.9843110861775465,0.7386010597624365,0.1580911716582578
2010-02-10,1.0,0.7666868469272758,0.32803655590529746,0.9912317617183144,0.858198687519529,0.362443249070992
2010-02-11,1.0,0.7674102265888519,0.41529929082580896,0.9918155225061664,0.9035076788771657,0.4416994656446942
2010-02-12,1.0,0.8067898026202522,0.6601664464476462,0.9944690403872785,0.9376891441614518,0.6911212258436097
2010-02-16,1.0,0.7739948441962251,0.518981539811994,0.9901744611679975,0.9490129883307504,0.49300656298131995
2010-02-17,1.0,0.8093598112812326,0.7266769256415782,0.9932628593614824,0.9785099057382696,0.7164554014291508
2010-02-18,1.0,0.8438299317460685,0.8553117708602754,0.9945319901183456,0.9900023222021799,0.8529856262828927
2010-02-19,1.0,0.8870413137686286,0.9376738374168891,0.9959161546879582,0.9948442475532496,0.9389217821513398
2010-02-22,1.0,0.931708237709541,0.9723522793517855,0.9970294272303547,0.9961811129540584,0.9731936254107418
2010-02-23,1.0,0.9013522001952129,0.952872964420673,0.9940537640487149,0.9956088089500554,0.9334216523544763
2010-02-24,1.0,0.9143264200232479,0.9646796704916937,0.9942445674129725,0.9973686540509125,0.9504783144360849
2010-02-25,1.0,0.9586663836890146,0.9822563722301938,0.9961363606447589,0.998692396772164,0.9764308118899159
2010-02-26,1.0,1.0,0.9894256672074976,0.9974501732236143,0.9991192450090451,0.9871280150705452
2010-03-01,1.0,1.0,0.9848591766904375,0.9965273846432748,0.9990343752684115,0.9810578504061733
2010-03-02,1.0,1.0,0.9901264446405335,0.9979904514981951,0.9993685860076851,0.9885635581033435
2010-03-03,1.0,1.0,0.9923308904902689,0.9989096794679838,0.9994077941063527,0.9914605190713419
2010-03-04,1.0,1.0,0.9928953602017148,0.9993950135280036,0.9991724558319557,0.9922573759371286
2010-03-05,1.0,1.0,0.9761609248234339,0.9975995785442747,0.9984269723221586,0.9678354028433724
2010-03-08,1.0,1.0,0.9871224088814061,0.9989235997183492,0.9992195404961542,0.9839286610682441
2010-03-09,1.0,1.0,0.9911815995265428,0.9994837823849153,0.9994923235126846,0.9898110696415052
2010-03-10,1.0,1.0,0.9919965406616613,0.9997000429857906,0.9995612184042449,0.9911057659452875
2010-03-11,1.0,1.0,0.9924314789682614,0.9998260670323575,0.999595445652203,0.9917345503378231
2010-03-12,1.0,1.0,0.9931498272073879,0.9999067838555146,0.9996147959435538,0.9925003194647901
2010-03-15,1.0,1.0,0.9934241888564107,0.9999446915076746,0.9995787307860657,0.9927943024137986
2010-03-16,1.0,1.0,0.9907074541377126,0.9999289476701575,0.9994416243447983,0.9894374563457025
2010-03-17,1.0,1.0,0.9910204755136736,0.999932954098013,0.9994832448181735,0.9899734577381478
2010-03-18,1.0,1.0,0.9925653567002958,0.9999539991889828,0.9995249154801034,0.9917527668785525
2010-03-19,1.0,1.0,0.9913082340469875,0.9999464446742903,0.9994318857101158,0.9894879961111945
2010-03-22,1.0,1.0,0.9916253355889515,0.9999473683160615,0.9994566891473281,0.9904400679767503
2010-03-23,1.0,1.0,0.9906281258397676,0.9999381410136814,0.9994152988422493,0.9893619314827321
2010-03-24,1.0,1.0,0.9905639965804054,0.9999325339272773,0.9994322753311342,0.988565005560216
2010-03-25,1.0,1.0,0.9921626545003787,0.9999483139742666,0.9995430475961041,0.9908427493754456
2010-03-26,1.0,1.0,0.992977030263591,0.9999618780731313,0.999578281628814,0.9920443564439966
2010-03-29,1.0,1.0,0.9917626759895544,0.9999566327241265,0.9995353692267184,0.9907547691345717
2010-03-30,1.0,1.0,0.9929302346116126,0.9999662406738964,0.9995688021858605,0.9922197235450194
2010-03-31,1.0,1.0,0.9924477508887684,0.999965149408209,0.9994891748898553,0.9912450243166069
2010-04-01,1.0,1.0,0.9911751072007345,0.999953095596985,0.9994026814118643,0.9899437632765917
2010-04-05,1.0,1.0,0.9893288025280522,0.9999277306733053,0.9993439968151838,0.9876760955762925
