,fit_year,mean_ann,vol_ann,p_stay,expected_duration,stationary_prob
state_0,2010,0.205618506905094,0.0949203923628803,0.9869831968797494,76.82377852395078,0.38798980745821904
state_1,2010,-0.05685479267723484,0.19749650589540396,0.9831523940714909,59.35561433733593,0.5156604861341909
state_2,2010,-0.5032747748739831,0.4916355663618632,0.9622494155658563,26.489656120278372,0.09634970640758991
state_0,2011,0.25786613865815355,0.09301938406933696,0.9820774207528363,55.7955407092567,0.38170718538552434
state_1,2011,-0.06589195436537153,0.19718917861957724,0.9796879783185364,49.23192854370482,0.5214375558988589
state_2,2011,-0.515542030326834,0.4800086627910685,0.96127960720569,25.826184287752103,0.09685525871561682
state_0,2012,0.26470317141407834,0.09275332887135417,0.9808448187031185,52.20519631222701,0.3629060818568533
state_1,2012,-0.06413624846143946,0.19533824102763386,0.9784950633859755,46.500950825767426,0.5189144845982505
state_2,2012,-0.44518605429575897,0.4535251622216927,0.964395739753846,28.086526530431698,0.11817943354489614
state_0,2013,0.27238517082059255,0.0925104145691741,0.9794734265361835,48.717337151413254,0.37539211176312953
state_1,2013,-0.0644963026340935,0.18979693314114748,0.9770121657058508,43.50127059400796,0.5045565667118123
state_2,2013,-0.3991807977051629,0.440433185313556,0.9675709609998602,30.836559788148154,0.1200513215250582
state_0,2014,0.2888819799984122,0.09160693843888304,0.9781444689218082,45.75500803079698,0.41198286626954767
state_1,2014,-0.06837767672623442,0.18912030019423395,0.9735813039112888,37.85198166639665,0.47551349351958333
state_2,2014,-0.39155759836357806,0.4378768159186531,0.9683713155656902,31.616869872565182,0.11250364021086903
state_0,2015,0.29073066467973174,0.08903448289110416,0.9753412686110576,40.55358664754451,0.42473353002388176
state_1,2015,-0.07646933869383732,0.18729664819150119,0.9703821602589284,33.763434765746354,0.466217392492675
state_2,2015,-0.3772327229957957,0.433694004948726,0.9694177881778183,32.69874676869143,0.10904907748344327
state_0,2016,0.28124197771529647,0.08971587669407695,0.9738408107195934,38.2274843949008,0.42358972990266425
state_1,2016,-0.07339200090446815,0.18441524057752656,0.9685606793233038,31.807303035692858,0.46630116519048487
state_2,2016,-0.37923369438766313,0.42823217689664317,0.9674919894625535,30.761648697267567,0.11010910490685076
state_0,2017,0.2704066340022005,0.08904227051537428,0.9745003275238379,39.21618997008021,0.4485939353984389
state_1,2017,-0.07267722999289254,0.18644653539357037,0.967389705091541,30.66516272873702,0.45091612983608725
state_2,2017,-0.39212265622030684,0.4306357065962718,0.9675041131919536,30.77312540836361,0.1004899347654739
state_0,2018,0.2630991165233521,0.08503505334793333,0.9766516657312321,42.82960782078821,0.46455167777739675
state_1,2018,-0.06287526896496914,0.18408608828977038,0.9681303571525964,31.37782261282763,0.43795630129616747
state_2,2018,-0.38197348705554846,0.42725610900557404,0.9680896649577754,31.337809480118988,0.09749202092643577
state_0,2019,0.2649137908164749,0.08496280769701174,0.9773110444587211,44.07430735102196,0.4637850335980358
state_1,2019,-0.0771923044963871,0.18573403640743605,0.9679021447340932,31.15472955173314,0.43805755659658535
state_2,2019,-0.4133601272823519,0.42825893741491555,0.963956595387618,27.744326895702585,0.09815740980537883
state_0,2020,0.2781008608085949,0.0839808493757416,0.9756618728247302,41.087795819232454,0.4775543240913684
state_1,2020,-0.07713339456584753,0.18516221042408695,0.9652100175098898,28.743906389842845,0.43117360776700653
state_2,2020,-0.40327188991308727,0.4263757935853629,0.9629925679000882,27.021599264175496,0.09127206814162502
state_0,2021,0.28402277553899447,0.08512124408717286,0.9760816938804686,41.80898074481172,0.4799529860539766
state_1,2021,-0.050957133469514894,0.19255466484139416,0.9663589702072809,29.72560608761237,0.44331990757628525
state_2,2021,-0.5955497871315018,0.49018088168041835,0.9526586377797692,21.123177557672005,0.07672710636973816
state_0,2022,0.2910976475064552,0.0852135921877347,0.9739758054771596,38.4257810216696,0.4859677608960845
state_1,2022,-0.050725154836601984,0.1917262201364026,0.963543497433327,27.429948832068117,0.43873999063382874
state_2,2022,-0.577035183494759,0.4862705737199312,0.9539151279014559,21.699094615293347,0.0752922484700869
state_0,2023,0.28969541730409604,0.08586028936345962,0.9752797463386121,40.452659333426006,0.4680878414037541
state_1,2023,-0.05666553424751302,0.19563843290930005,0.9663018876742664,29.675252736229638,0.4564880460733716
state_2,2023,-0.6212085441832613,0.48350504759760077,0.9484637987888582,19.40383607055242,0.0754241125228743
state_0,2024,0.291897818587535,0.08640090552275967,0.9752824603269924,40.457101039551844,0.4709041740878952
state_1,2024,-0.04723817241856038,0.19184616192823545,0.9659460616176051,29.36517911000206,0.4505180580034149
state_2,2024,-0.5711729190445556,0.47045182962848836,0.9518778300828681,20.78044281299109,0.07857776790868994
state_0,2025,0.2980577268289494,0.0864241877890496,0.9739620509425401,38.40548262050992,0.47432772125693196
state_1,2025,-0.04972493598841021,0.19046138718813876,0.9642453532810745,27.96839269203812,0.44711134928853713
state_2,2025,-0.5472777436367317,0.4653468121831265,0.9534713564952126,21.492137416323118,0.07856092945453082
state_0,2026,0.3008089770566009,0.08643382215770797,0.9735026569620424,37.739632934800085,0.4793550395307425
state_1,2026,-0.04557811618989821,0.19039188328679865,0.9630514802906908,27.064683723934102,0.4455482579881121
state_2,2026,-0.5774527659578289,0.47460852249844965,0.9499217202609989,19.968737049511635,0.07509670248114532
