,vol_target_15,hmm_2state,hmm_3state
0bps,0.9850092330459451,0.9596662704447148,0.9426606123039576
5bps,0.9722277424729903,0.8956514923599769,0.9273294979406197
10bps,0.9594433156478341,0.8315930522174061,0.9119872249104781
20bps,0.9338662412098575,0.7033985096156088,0.8812717405901943
40bps,0.8826833281730772,0.4470713782538569,0.8197348347296197
