,return,return,return,return,sharpe,sharpe,sharpe,sharpe
rule,buy_and_hold,hmm_2state,hmm_3state,vol_target_15,buy_and_hold,hmm_2state,hmm_3state,vol_target_15
year,,,,,,,,
2010,0.1308098108060285,0.09025835096657975,0.13765111631103877,0.13709994852027352,0.7777115926339174,0.8112505078569396,0.8693872081040697,0.989833595152207
2011,0.01894976855853092,-0.04504224058787709,-0.0861487204799587,-0.01763232616066779,0.19671344693044956,-0.39036188845937797,-0.44690075441095783,-0.04759353398510389
2012,0.15990313567273273,0.11656922432192407,0.15802592304930152,0.13832079245264173,1.237658238552543,0.9916608720490442,1.2307323358212108,1.1202564054814452
2013,0.3230775831519803,0.29821491089573215,0.32112101452237396,0.31997963060859,2.584675601694821,2.5251388231721306,2.5816527341852136,2.5848971896556954
2014,0.1346381662506606,0.11573220127713735,0.13327073837301517,0.1255260671146603,1.179659396243738,1.1052479943228182,1.1755767220157034,1.127826270042181
2015,0.012343014952344022,-0.04073273601520411,-0.022191718034078378,-0.008081128067287335,0.15647265971708743,-0.28897937120203065,-0.09696875309037155,0.006051606435292646
2016,0.11997848357499619,0.04516425807971336,0.11023921463567632,0.09756436263613844,0.9328817873850026,0.5114442873237137,0.885612645127682,0.8702088407688081
2017,0.2170543348459053,0.21430382823440186,0.21692585618706817,0.2170543348459053,2.9591414043893716,2.9477710184666184,2.9583269270772057,2.9591414043893716
2018,-0.04568990912820503,-0.007844759017574199,-0.0962184343200102,-0.04989237807983271,-0.19044617628744784,-0.04064149406542195,-0.5786697411435281,-0.3036665254101704
2019,0.3122387064683674,0.15114261265733298,0.26058627374350274,0.2511165546850749,2.2356026438494747,1.5030961507411993,2.027254172813224,2.0859100652689233
2020,0.18331613708139805,0.0874045157365737,0.1994614687561831,0.13055473460456635,0.6701114709801743,0.9316866736339547,1.2236158808387794,0.8900098354287347
2021,0.2872875190623214,0.12909127989176028,0.28327128160316106,0.2605222024277356,2.0099957518567635,1.2453489262406614,2.0014615933229423,1.9293338585976212
2022,-0.1817536377742074,-0.07139775309887808,-0.14277591003600287,-0.14713992710540935,-0.7095875913658405,-0.8387319322508165,-0.626330381999309,-0.9330564585360247
2023,0.2617580723704007,0.1655682525272768,0.2594486931976765,0.2367130749558095,1.8582994663879309,1.44931424880701,1.8541003041506694,1.7794226594311782
2024,0.24886481272312033,0.1688990580275056,0.24407095685243263,0.22353192315619208,1.8316241369108106,1.493160403620092,1.814463195644291,1.729262673250583
2025,0.17719043042617533,0.12277883911296783,0.14863673916023612,0.12364583075353397,0.9400724080822043,1.1297848319080837,1.0924526820210896,0.9398175220149245
2026,0.1308163743304649,0.035844379336525733,0.12765227489214048,0.11008832792636492,1.454442436882773,0.5348421217724844,1.4308845779288664,1.27962659216925
