,fit_year,mean_ann,vol_ann,p_stay,expected_duration,stationary_prob
state_0,2010,0.14136515503768451,0.12262250042901128,0.98905280521863,91.34760273945334,0.6427935998255094
state_1,2010,-0.2656277459394847,0.33123261239448104,0.9803005020680747,50.76271504256901,0.3572064001744907
state_0,2011,0.1759049506886366,0.12168395476730157,0.9881281685741968,84.23300198034497,0.6368783586125909
state_1,2011,-0.28257855399888016,0.32333092848715483,0.9791780173627155,48.02616625994911,0.3631216413874091
state_0,2012,0.16843811554568133,0.12296737123100054,0.9889988853412369,90.89987978658483,0.6317086221220266
state_1,2012,-0.26554900996299635,0.3237555072573454,0.9811304325859177,52.99538553563783,0.36829137787797345
state_0,2013,0.16532057970297276,0.12369968083638469,0.9904192285505158,104.37572853841904,0.6654365110164865
state_1,2013,-0.266170379065512,0.32432577898357845,0.9809441396442835,52.47729471842052,0.3345634889835136
state_0,2014,0.1820328188129488,0.12140156377962845,0.9913846773485262,116.07226339096339,0.6822393074592332
state_1,2014,-0.2645938101398616,0.3215850787871338,0.981502709752166,54.061972678246725,0.3177606925407667
state_0,2015,0.1795571851010903,0.11968051789146252,0.9918827327497276,123.19416980714072,0.6969857743299512
state_1,2015,-0.261841979309965,0.3194417271189282,0.9813288640579045,53.55860527721968,0.3030142256700488
state_0,2016,0.17007160165024338,0.12093329739115971,0.9922208170866657,128.54820501596555,0.7138838836200481
state_1,2016,-0.2721875674374083,0.32064798359743096,0.9805902813870607,51.52058203117695,0.28611611637995193
state_0,2017,0.17869208020182428,0.11726908993405832,0.9910661156319451,111.9333941208963,0.7046506245330421
state_1,2017,-0.26567375288263456,0.312722557040757,0.9786853546261852,46.91609841318348,0.29534937546695794
state_0,2018,0.1872518362692613,0.11081782373029188,0.9902017275111383,102.05880691078602,0.6964406413195345
state_1,2018,-0.24683345858404618,0.3047726313808968,0.977520326813085,44.484632480425944,0.30355935868046535
state_0,2019,0.19725116854192343,0.10809002663615158,0.9881521651413113,84.40360723517718,0.6775006504995318
state_1,2019,-0.26535275415615284,0.2987774487259943,0.9751102883270748,40.17724323772665,0.32249934950046816
state_0,2020,0.21077955223445666,0.10641381692778709,0.9873075347802243,78.78690094355593,0.6839427055299213
state_1,2020,-0.2635226654028294,0.29573924211332686,0.9725337172906805,36.40827594265944,0.3160572944700786
state_0,2021,0.21388896685400724,0.10928952275655883,0.9878673331787075,82.42211005456964,0.6970168995610297
state_1,2021,-0.27402407942084434,0.31827358131739714,0.9720886287092184,35.827691501860194,0.30298310043897025
state_0,2022,0.22287162540006245,0.10860777970101912,0.9867082537683299,75.23465935704621,0.7014202765067465
state_1,2022,-0.2747775393921484,0.31583665684810674,0.9687751726473609,32.025797571478996,0.29857972349325335
state_0,2023,0.22318564514634673,0.10796655436200685,0.9863730299252207,73.38388464291062,0.6624568903190537
state_1,2023,-0.2575924180594199,0.3054226571299815,0.9732559191365456,37.391451405850866,0.3375431096809463
state_0,2024,0.22096003452440943,0.11004650639754125,0.9877775310767766,81.81653038200324,0.6835028718061387
state_1,2024,-0.25688476864112414,0.3065146625107465,0.9736045231839594,37.88527886688137,0.3164971281938613
state_0,2025,0.22594389323581027,0.1099087297831214,0.9876824513973099,81.18498511802959,0.690408126709393
state_1,2025,-0.26102198922577313,0.30547669066395616,0.9725311405430449,36.404860622882566,0.309591873290607
state_0,2026,0.2279629078511711,0.11020265717342899,0.9875388432951837,80.24937200360347,0.6993365551786292
state_1,2026,-0.266991410400727,0.30858942498527764,0.9710156237694118,34.50134624407284,0.30066344482137075
