period,asset,overnight_ann,intraday_ann,total_ann,overnight_t,intraday_t,overnight_bps,intraday_bps,days
full 2000-2026,SPY,0.07121367886328445,0.011346054257265648,0.08336772738479303,3.7660619540742557,0.859076815880679,2.979722072987515,0.9224597198659141,6704
full 2000-2026,QQQ,0.11405521846441036,-0.025185677417716268,0.08599698310664206,4.710115747838025,0.015305744468687845,4.6896783260887664,0.023762026944762808,6704
full 2000-2026,IWM,0.1344566797149549,-0.04133931375555977,0.08755901909012831,5.4874038991226115,-0.6168765856773644,5.355686244809542,-0.8723480255742909,6603
full 2000-2026,EW sectors (9),0.10131016886636779,-0.006913980724799429,0.09249960646558164,5.122695693185477,0.14335204070053978,4.071156351603981,0.143807668139377,6704
full 2000-2026,EW stocks (12),0.06711093532768708,0.05972088472157555,0.13010195165257787,3.527193667767909,2.68963253616341,2.8282743795476026,2.7834966624076265,6704
pre-publication 2000-2015,SPY,0.055161612924168324,-0.013865217809653774,0.04053156733658958,2.4746721983237823,-1.4960378036905232e-05,2.3716950296822685,-2.2617036949469692e-05,4024
pre-publication 2000-2015,QQQ,0.10586289218840639,-0.08074635598768776,0.016568493422187247,3.3937544390911434,-0.8951608265455525,4.417737697314825,-2.0179907478622794,4024
pre-publication 2000-2015,IWM,0.12220005245419485,-0.043267374671959624,0.07364540232776617,4.285351821348708,-0.4267953333923554,4.8878197092553375,-0.8356320334557771,3923
pre-publication 2000-2015,EW sectors (9),0.11447334228008565,-0.04246171697953993,0.06536532928262728,4.678184956706696,-0.8552057902488567,4.538443616349619,-1.222782477377201,4024
pre-publication 2000-2015,EW stocks (12),0.04414833425621034,0.0529980647717454,0.09877168765722111,1.9547617063205407,1.7870984500859601,1.97383213884594,2.6463034414492204,4024
post-publication 2016-2026,SPY,0.09577550142449032,0.050416194422779004,0.1510203321480248,2.8694549217714163,1.6097477108248326,3.892670140995093,2.3075600645290204,2680
post-publication 2016-2026,QQQ,0.12647005018993251,0.06460806809080921,0.19924910389486095,3.3048546064496103,1.6308111381764,5.097995150785162,3.0894385813565313,2680
post-publication 2016-2026,IWM,0.15263980779424835,-0.03850999783457243,0.10825165129205039,3.493989003506154,-0.46765289940871446,6.0405520727868405,-0.9260931140373251,2680
post-publication 2016-2026,EW sectors (9),0.08183715871684161,0.04895432547733147,0.13454489700458172,2.4941529086044314,1.6979117302623519,3.369528010806799,2.1957325731985953,2680
post-publication 2016-2026,EW stocks (12),0.10254094445411521,0.06989584074094135,0.17882977291839675,3.140020698702822,2.2549069842055522,4.111213027526516,2.9894912598466665,2680
post-2010,SPY,0.08865576137826126,0.0498799605796405,0.1429578678406076,3.6045996284523816,2.012869462286091,3.6076808933724487,2.2610857738887535,4190
post-2010,QQQ,0.1300549303432017,0.05316877406533749,0.1901385656160406,4.605803886484586,1.8038435896587552,5.1715820086836475,2.5814091081559147,4190
post-2010,IWM,0.13188194882773474,-0.017212571387536735,0.11239934998127321,4.171346667827584,-0.04852121039763548,5.27117072080198,-0.07522251449730029,4190
post-2010,EW sectors (9),0.08257476065478864,0.04447008547578024,0.130510519259601,3.4205724335906207,1.9238970419453723,3.372257678718131,2.021442103665492,4190
post-2010,EW stocks (12),0.09265143166950196,0.06965489642569445,0.16800094516276864,3.898930572459865,2.8176057172574813,3.7282424661924694,2.960296356276435,4190
