Date,overnight,intraday,close_to_close,overnight_t,intraday_t
2000,0.2546581025668484,-0.27350244111697686,-0.0884939512523778,2.5656428203770902,-1.5249874543917992
2001,-0.1387949097230794,0.02462788190063936,-0.11758525246751028,-0.9956152481192185,0.25229101418244404
2002,-0.0974637674869665,-0.13116702894097854,-0.21584676361728983,-0.9901941066865149,-0.5265342953881085
2003,0.07155298980599833,0.1962228320841073,0.2818161521939224,0.8641567980728829,1.2512534500271433
2004,0.06457607315903702,0.03983129743156111,0.10697951936755645,1.4987574915891246,0.4480853635157304
2005,0.16015832830225918,-0.09643121138410193,0.04828285530671983,4.5880638232557756,-0.978708447169301
2006,0.10154562768697728,0.05166092406173206,0.15845249270944706,2.408483660637931,0.6372304710509978
2007,0.15304441605820251,-0.08809909171499442,0.05146225029642881,2.385286571710098,-0.760111087768548
2008,-0.13816263034952658,-0.2666254060960741,-0.3679503690213569,-0.6504486388951951,-0.9355095837650527
2009,0.07483614000381955,0.175544827948108,0.263518065273199,0.7195219197885189,0.9288557377003458
2010,0.07590758949798748,0.06938694187889927,0.15056152687755353,0.7715565430372894,0.5867296685676042
2011,0.04964553278439565,-0.029243778765793094,0.018949931041146062,0.4722652384413828,-0.11028171274352065
2012,0.05920415306523963,0.0950706405927686,0.15990337041567493,0.8627776660559903,1.1041117383931895
2013,0.14304421153879798,0.15750330297846915,0.3230774503065801,2.435607896480307,1.9232880820585043
2014,0.10966603105843098,0.022504269517723774,0.13463825449603184,1.8237939547012387,0.288880311154633
2015,0.023034926992440585,-0.01045143582131236,0.01234274311001271,0.3563609986904317,-0.03470150217571535
2016,-0.032402036408432755,0.15748349410217322,0.11997867178411292,-0.3891486462514608,1.6639883818914196
2017,0.15123442744191218,0.05717338527914406,0.21705439690866513,3.4672322596342395,1.0418971806933128
2018,0.14663721961094267,-0.16773156300929992,-0.04569003343904088,2.022579029996544,-1.1460663415625985
2019,0.14969076154853922,0.14138417638501322,0.3122388429675349,1.6797404905224005,1.5349188058745804
2020,0.14496668489066789,0.033493838386897234,0.1833160139927783,0.6790368100924706,0.3562414012115596
2021,0.17566550230064193,0.09494391071265129,0.28728778277901834,2.4223782734782597,1.0521163840705978
2022,-0.1333810395434215,-0.05581764476773021,-0.18175366882716815,-1.1133592860591353,-0.21039352093919667
2023,0.058695975053356,0.1918037770047163,0.26175786176827454,0.8072388392982683,1.7372989427986298
2024,0.23835817640907808,0.008484220663435682,0.24886468043810916,3.173811089620849,0.1398487077579924
2025,0.08324221246697827,0.08672884196250918,0.17719055511914572,0.686996293508407,0.8050245044169068
2026,0.08723194621445729,0.04008751607029115,0.1308163743304649,1.1829133787405688,0.4852663435796308
