,BTCUSDT,ETHUSDT
mean,-2.867654460185767,-2.8191872905525632
median,-4.2551472409679825,-4.238204767097464
std,3.972945737817795,4.138415017853068
p1,-6.6924085270088085,-6.962719015200491
p99,10.287967740176981,10.43856054369491
min,-40.72427128948286,-62.07802620454728
max,77.75989925272731,95.51879004028763
share_negative,0.8519616326380323,0.8484415560505919
autocorr_1h,0.949486690983842,0.9429012014053139
autocorr_1d,0.897551457962158,0.8952274511382737
