,mean,mean,std,std
symbol,BTCUSDT,ETHUSDT,BTCUSDT,ETHUSDT
ts,,,,
2024,-0.2883507660173892,-0.0845618063015738,5.2710059537286185,5.426375734659934
2025,-4.327152885414078,-4.353641889304675,1.2174013412394074,1.3253191458840792
2026,-4.807755829970082,-4.89838436251998,0.88106728970248,1.0169921897084246
