ts,return
2026-01-24,-0.0034141423275836358
2026-01-25,-0.009878133316323034
2026-01-26,0.0
2026-01-27,-0.0034433751360354314
2026-01-28,-0.006787200602383137
2026-01-29,-0.01336647495609733
2026-01-30,-0.019884279767471424
2026-01-31,-0.013242040234647035
2026-02-01,-0.0014153513076657909
2026-02-02,-0.007838177248831846
2026-02-03,-0.006482368892713697
2026-02-04,-0.006354798104506898
2026-02-05,-0.01290234185585426
2026-02-06,-0.005871891869035251
2026-02-07,-0.0035229475778906227
2026-02-08,-0.006553772351630571
2026-02-09,-0.010032828567312135
2026-02-10,-0.0030355027218295083
2026-02-11,-0.003245688024619109
2026-02-12,-0.0066605854188031
2026-02-13,-0.010074102072458069
2026-02-14,0.0
2026-02-15,-0.013139769143614366
2026-02-16,-0.006706692046732243
2026-02-17,-0.0035613190206610357
2026-02-18,-0.003251442776001978
2026-02-19,0.0
2026-02-20,-0.013815512209706116
2026-02-21,0.0
2026-02-22,-0.023272332965699194
2026-02-23,-0.00983548087957653
2026-02-24,0.0
2026-02-25,-0.013397193819139508
2026-02-26,-0.0015841056893850514
2026-02-27,-0.018471988784186544
2026-02-28,-0.009930249763394072
2026-03-01,-0.009950425957756304
2026-03-02,-0.010215972160800058
2026-03-03,0.0
2026-03-04,-0.01004919414337846
2026-03-05,0.0
2026-03-06,-0.0033444886359618176
2026-03-07,0.0
2026-03-08,-0.019009215355834108
2026-03-09,-0.006855374319131635
2026-03-10,-0.003343438169262636
2026-03-11,0.0
2026-03-12,0.0
2026-03-13,-0.0066513338056394256
2026-03-14,-0.006759366422673718
2026-03-15,-0.018469192266043488
2026-03-16,-0.012043985546184799
2026-03-17,-0.003382095306668109
2026-03-18,-0.013472632184129196
2026-03-19,-0.0033052551958197007
2026-03-20,-0.006711383429359397
2026-03-21,0.0
2026-03-22,-0.009983026836757003
2026-03-23,-0.003254620134452324
2026-03-24,-0.0034217028701185592
2026-03-25,0.0
2026-03-26,0.0
2026-03-27,-0.0028932250977983243
2026-03-28,-0.0032929589639719703
2026-03-29,-0.009971243232694382
2026-03-30,0.0
2026-03-31,-0.013545743430858681
2026-04-01,-0.0050082207631706455
2026-04-02,-0.011658032351488656
2026-04-03,-0.006542144568618236
2026-04-04,-0.0032316728836757624
2026-04-05,-0.00354318139974108
2026-04-06,-0.006536140861501227
2026-04-07,-0.008259437346954557
2026-04-08,-0.0016582173304255932
2026-04-09,-0.0034997527110494087
2026-04-10,-0.0033781714645283456
2026-04-11,-0.006646453449677292
2026-04-12,-0.006749441651101029
2026-04-13,-0.006719175403756661
2026-04-14,0.0
2026-04-15,-0.003188811027864169
2026-04-16,-0.006567988436297023
2026-04-17,-0.011372029365560476
2026-04-18,-0.004760305923615871
2026-04-19,-0.013398199087050089
2026-04-20,-0.0032664000367135237
2026-04-21,0.0
2026-04-22,-0.020170074623293677
2026-04-23,-0.009960737188100088
2026-04-24,-0.003358516888416818
2026-04-25,0.0
2026-04-26,-0.0099676372328944
2026-04-27,-0.009381375116027657
2026-04-28,-0.010304655031179832
2026-04-29,-0.006246739854663508
2026-04-30,-0.003307100122014739
2026-05-01,0.0
2026-05-02,-0.0032079989328976932
2026-05-03,-0.01386603460498792
2026-05-04,-0.0068935658991249316
2026-05-05,-0.01697505474588079
2026-05-06,-0.0034105162936280964
2026-05-07,-0.0034647343010335563
2026-05-08,0.0
2026-05-09,0.0
2026-05-10,-0.010070798176110562
2026-05-11,-0.0067900369802521565
2026-05-12,-0.0033134317035263816
2026-05-13,-0.01009103277014134
2026-05-14,-0.0034427675481868425
2026-05-15,-0.003413445071672183
2026-05-16,-0.010126792569802201
2026-05-17,-0.004943887515821088
2026-05-18,-0.004911934181245137
2026-05-19,0.0
2026-05-20,0.0
2026-05-21,-0.0033515278998140774
2026-05-22,-0.003391541753163807
2026-05-23,-0.0068543800799995
2026-05-24,-0.0032126303959911784
2026-05-25,-0.00689493029829813
2026-05-26,-0.006949294799541095
2026-05-27,0.0
2026-05-28,-0.003283705650075186
2026-05-29,0.0
2026-05-30,0.0
2026-05-31,-0.003346886829376672
2026-06-01,-0.0031554412120966546
2026-06-02,-0.010225688144754663
2026-06-03,-0.003393275193826817
2026-06-04,-0.0035194430261383802
2026-06-05,-0.022995221227432805
2026-06-06,-0.003156502702176156
2026-06-07,-0.008245879190140637
2026-06-08,-0.0017521748938978954
2026-06-09,-0.006731316115365482
2026-06-10,0.0
2026-06-11,-0.006754715228724173
2026-06-12,-0.013270231636518748
2026-06-13,-0.003265488907666203
2026-06-14,-0.006813383744519341
2026-06-15,0.0
2026-06-16,-0.0033921187127263774
2026-06-17,-0.006622889155970535
2026-06-18,-0.0035112654972045965
2026-06-19,0.0
2026-06-20,0.0
2026-06-21,-0.006887122475700225
2026-06-22,-0.006906499323719895
2026-06-23,-0.013132148087404039
2026-06-24,-0.007043009394131161
2026-06-25,-0.0028782762106182025
2026-06-26,0.0
2026-06-27,-0.0034857280315824246
2026-06-28,-0.0033559771349009893
2026-06-29,-0.003271508011113755
2026-06-30,0.0
2026-07-01,-0.0064196582907156685
2026-07-02,0.0
2026-07-03,0.0
2026-07-04,0.0
2026-07-05,-0.0031367359219464097
2026-07-06,-0.0033612931694034787
2026-07-07,-0.0032437763135106934
2026-07-08,-0.010196351422229744
2026-07-09,-0.006914829179739734
2026-07-10,-0.006526879312092726
2026-07-11,0.0
2026-07-12,-0.010081104766805571
2026-07-13,-0.013375019732299376
2026-07-14,0.0
2026-07-15,-0.006859268178652123
2026-07-16,0.0
2026-07-17,-0.003341395516668677
2026-07-18,-0.006633717078304513
2026-07-19,-0.003395982225595451
2026-07-20,0.0
2026-07-21,-0.006694872452910117
2026-07-22,-0.01007380504800437
2026-07-23,-0.006743135333755368
2026-07-24,-0.00343268780504824
2026-07-25,-0.016753271031854644
2026-07-26,0.0
2026-07-27,-0.00663260095839302
2026-07-28,0.0
2026-07-29,0.0
2026-07-30,0.0
2026-07-31,-0.006446315614091702
2026-08-01,0.0
