threshold_bps,BTCUSDT,ETHUSDT
1.0,0.29726604930316475,0.30715245687353865
2.0,0.05831323526704347,0.06049303164755049
5.0,0.004661524016422115,0.005151241784340078
9.0,0.000799013200287203,0.0010125743321612018
10.0,0.0006370013071414106,0.0007253714306754792
20.0,0.00011782683137875803,0.00014728353922344753
28.0,4.418506176703426e-05,9.941638897582709e-05
34.0,2.209253088351713e-05,6.995968113113757e-05
50.0,7.364176961172377e-06,1.1046265441758565e-05
