,episodes,given_back_1,given_back_12,given_back_48,given_back_288
BTCUSDT,60.0,0.37592934526679794,0.6865836436708405,0.7939672962907001,1.0469373419415122
ETHUSDT,94.0,0.4040631593682637,0.6062539832205055,0.8265291281250563,1.022411852116068
