target,hedge,target_name,hedge_name,n,corr,r2,beta,beta_hac_se,alpha,alpha_hac_se,resid_sd,dw,h_from_beta,h_from_pnl,h_gap_%,eff_train,eff_test
CL=F,BZ=F,WTI crude,Brent crude,2256,0.8865913980564216,0.7860443071076401,1.0717153522148435,0.04986115957353005,0.00013141607972866985,0.00023271964955457806,0.014766449106249963,2.0886917951906767,0.9967342381745059,0.9194706755564803,8.4030480440569,0.8605499858127421,0.8338637528995333
BZ=F,CL=F,Brent crude,WTI crude,2256,0.8865913980564216,0.7860443071076401,0.7334450378854553,0.06231474353438011,9.19244213548121e-06,0.00021246664668220127,0.012215749947393386,2.0345027775813325,0.7886197513865488,0.9359189027881958,-15.738452440999758,0.8605499858127421,0.83483549812677
BZ=F,HO=F,Brent crude,NY Harbor ULSD,2256,0.7953706999159174,0.6326145502847356,0.8247168409115776,0.04357821498625447,9.288436903350792e-05,0.00032770706517527284,0.01600734064319845,1.9703011142711322,0.5925213555865688,0.4338722957449227,36.565842391309836,0.48719582677854345,0.603480005897894
HO=F,BZ=F,NY Harbor ULSD,Brent crude,2256,0.7953706999159174,0.6326145502847356,0.7670687912538479,0.032068452392666015,0.00010719586422328795,0.00031047179890293723,0.015437746750873371,1.929091398109786,1.0676654002765462,1.1229014425594255,-4.919046337404281,0.48719582677854334,0.6032885986673435
GC=F,SI=F,Gold,Silver,2256,0.780891680306354,0.609791816371681,0.4039033297474477,0.013632487215727025,0.00014877662031806903,0.00011505845224322098,0.005769241592174946,2.0761943020607627,0.6984531634985937,0.6106300250698453,14.382381282136087,0.6015750567719732,0.39212706395520747
SI=F,GC=F,Silver,Gold,2256,0.780891680306354,0.609791816371681,1.5097469405686028,0.04447153310516768,-9.022231176412271e-05,0.00022888301515067844,0.011154037189601224,2.089693632798552,0.8730604258662057,0.9851711053729524,-11.37981807376551,0.6015750567719733,0.5153047567739657
CL=F,HO=F,WTI crude,NY Harbor ULSD,2256,0.7245085423250708,0.5249126279019991,0.9081021915894891,0.06596629578923648,0.0002191877173329942,0.0004107421375118859,0.022003962345162376,1.9647054489113178,0.6067835426272506,0.4130816210890248,46.89192441618709,0.44952287966846416,0.6296127291137514
HO=F,CL=F,NY Harbor ULSD,WTI crude,2256,0.7245085423250708,0.5249126279019993,0.5780325526835506,0.06225799970376197,0.00010405935112853054,0.00034802650297356864,0.017555357570677475,1.869306715140627,0.8650739366285926,1.0882180584151095,-20.505460285368365,0.44952287966846416,0.6227693472880774
BZ=F,RB=F,Brent crude,RBOB gasoline,2256,0.7200436342625105,0.5184628352419642,0.6362579257685015,0.057228492839745175,9.460257127096512e-05,0.0003660414007548665,0.018326229318291132,1.9586670408169375,0.5550645788557118,0.5694281001676934,-2.5224468739339736,0.5940062009333953,0.6165745015354314
RB=F,BZ=F,RBOB gasoline,Brent crude,2256,0.7200436342625105,0.5184628352419642,0.8148626747804217,0.026929515233149685,0.00022477915298273215,0.00040778658895471897,0.020739521232261526,2.0043718019130172,0.9340585852384895,1.0431627816724598,-10.458980932874928,0.5940062009333954,0.6264685555121847
