,price levels,daily returns
mean R2,0.4524434767025423,0.09114377335668174
median R2,0.4998642740932315,0.023216952931196577
max R2,0.9835787928460424,0.7860443071076401
pairs with R2 > 0.5,39.0,5.0
mean Durbin-Watson,0.020283272972393136,2.0475689976811067
pairs with |t| > 1.96,75.0,72.0
