target,hedge,target_name,hedge_name,n,corr,r2,beta,beta_hac_se,alpha,alpha_hac_se,resid_sd,dw,h_from_beta,h_from_pnl,h_gap_%,eff_train,eff_test,rank
CL=F,BZ=F,WTI crude,Brent crude,2256,0.8865913980564216,0.7860443071076401,1.0717153522148435,0.04986115957353005,0.00013141607972866985,0.00023271964955457806,0.014766449106249963,2.0886917951906767,0.9967342381745059,0.9194706755564803,8.4030480440569,0.8605499858127421,0.8338637528995333,1
CL=F,RB=F,WTI crude,RBOB gasoline,2256,0.6961564315130282,0.4846337771369531,0.7435962115574719,0.08551552527818382,0.0001941189209597663,0.00042996578103715025,0.02291775779686943,1.9225238960003348,0.6033195546803478,0.5587313233921909,7.980263396985004,0.5821294398846522,0.592554455637983,2
CL=F,HO=F,WTI crude,NY Harbor ULSD,2256,0.7245085423250708,0.5249126279019991,0.9081021915894891,0.06596629578923648,0.0002191877173329942,0.0004107421375118859,0.022003962345162376,1.9647054489113178,0.6067835426272506,0.4130816210890248,46.89192441618709,0.44952287966846416,0.6296127291137514,3
BZ=F,CL=F,Brent crude,WTI crude,2256,0.8865913980564216,0.7860443071076401,0.7334450378854553,0.06231474353438011,9.19244213548121e-06,0.00021246664668220127,0.012215749947393386,2.0345027775813325,0.7886197513865488,0.9359189027881958,-15.738452440999758,0.8605499858127421,0.83483549812677,1
BZ=F,RB=F,Brent crude,RBOB gasoline,2256,0.7200436342625105,0.5184628352419642,0.6362579257685015,0.057228492839745175,9.460257127096512e-05,0.0003660414007548665,0.018326229318291132,1.9586670408169375,0.5550645788557118,0.5694281001676934,-2.5224468739339736,0.5940062009333953,0.6165745015354314,2
BZ=F,HO=F,Brent crude,NY Harbor ULSD,2256,0.7953706999159174,0.6326145502847356,0.8247168409115776,0.04357821498625447,9.288436903350792e-05,0.00032770706517527284,0.01600734064319845,1.9703011142711322,0.5925213555865688,0.4338722957449227,36.565842391309836,0.48719582677854345,0.603480005897894,3
NG=F,HO=F,Henry Hub gas,NY Harbor ULSD,2256,0.12437895607512528,0.015470124714338063,0.18649871683219166,0.03762828816732738,0.0005507150674973853,0.0007282546073962299,0.03789364013871584,2.1765713852677946,0.04372441184458192,0.06588494353926949,-33.635198733196454,0.011334701285303006,0.0248171298839146,1
NG=F,CL=F,Henry Hub gas,WTI crude,2256,0.09748887983293626,0.009504081691080968,0.11662530903288441,0.035029518009484915,0.0005642964856863854,0.0007325373546686274,0.038008280453360827,2.171152099397273,0.04092058807347401,0.10463634521633809,-60.89256750236284,0.010852324997573493,0.0005648038764684005,2
NG=F,RB=F,Henry Hub gas,RBOB gasoline,2256,0.09709044251097389,0.009426554026976897,0.12406364495222179,0.026286894029164096,0.000563526924822965,0.0007310052734242415,0.03800976790802236,2.1744756287009896,0.03531862833674017,0.07134246899665456,-50.49424440525551,0.009407353466209467,0.002802737587828008,3
HO=F,BZ=F,NY Harbor ULSD,Brent crude,2256,0.7953706999159174,0.6326145502847356,0.7670687912538479,0.032068452392666015,0.00010719586422328795,0.00031047179890293723,0.015437746750873371,1.929091398109786,1.0676654002765462,1.1229014425594255,-4.919046337404281,0.48719582677854334,0.6032885986673435,1
HO=F,CL=F,NY Harbor ULSD,WTI crude,2256,0.7245085423250708,0.5249126279019993,0.5780325526835506,0.06225799970376197,0.00010405935112853054,0.00034802650297356864,0.017555357570677475,1.869306715140627,0.8650739366285926,1.0882180584151095,-20.505460285368365,0.44952287966846416,0.6227693472880774,2
HO=F,RB=F,NY Harbor ULSD,RBOB gasoline,2256,0.6654395276499778,0.44280976495902535,0.567084412627334,0.05142910833420296,0.00013021950375844386,0.0004023171333003087,0.019011863369165747,1.9194959020372013,0.6885870867036606,0.7552960308417306,-8.832158705206878,0.4038014496681581,0.5080624871006842,3
RB=F,BZ=F,RBOB gasoline,Brent crude,2256,0.7200436342625105,0.5184628352419642,0.8148626747804217,0.026929515233149685,0.00022477915298273215,0.00040778658895471897,0.020739521232261526,2.0043718019130172,0.9340585852384895,1.0431627816724598,-10.458980932874928,0.5940062009333954,0.6264685555121847,1
RB=F,CL=F,RBOB gasoline,WTI crude,2256,0.6961564315130282,0.4846337771369531,0.6517432036425802,0.04861665222375336,0.00019655841683165057,0.0004283224097271407,0.021455655957057534,1.914039639487071,0.8032787490100869,1.0418772234755083,-22.90082450113472,0.5821294398846523,0.5965787956191795,2
