,"bias, mid, no cost","bias, quoted spread","bias, quoted spread + fee","bias, kelly rule, quoted spread + fee","logit+platt, quoted spread + fee","market, quoted spread + fee"
2026-08-25 00:00:00,-0.024342118802051352,-0.026430684126188486,-0.027661776134837775,-0.02154116043057498,-0.02589186997563135,
2026-08-26 00:00:00,-0.0014831773132592237,-0.003767240861542551,-0.0032108730346304872,-0.0033213130577530742,-0.02265318995513326,
2026-08-27 00:00:00,-0.021387648575166486,-0.022852062619873593,-0.02357460860151807,-0.02803626814929567,-0.012073421139985527,
2026-08-28 00:00:00,-0.008450021734213605,-0.008806415921986468,-0.008499408850573646,-0.00972895560897342,-0.0018413033478708197,
2026-08-29 00:00:00,-0.0017706277180603233,-0.0021756632519763282,-0.0021595365262134444,-0.0017255919110337626,-0.020391543001924785,
2026-08-30 00:00:00,-0.007660563207826787,-0.008148924574464419,-0.007026868748705277,-0.00485407518656244,-0.011227346139170896,
2026-08-31 00:00:00,-0.012405457279034292,-0.014388340364761517,-0.012821796724206053,-0.016022398621518257,-0.014541890167512981,
2026-09-01 00:00:00,0.030423709374898005,0.026913033151524584,0.02160794876446654,0.012065456604162167,0.03160543674523334,
2026-09-02 00:00:00,0.0001116831022719058,-0.000925449319294073,-0.002070191542978705,-0.001011269270043875,-0.019805689037082432,
2026-09-03 00:00:00,-0.02445746758182468,-0.028555809746745802,-0.023472974039450034,-0.014205649251967071,-0.030310129750775183,
