ticker,date,n_expiries,iv30,iv60,iv90,rho30,rho60,n_names,weights_from,stale
SPY,2026-09-10,25,0.1439068885495646,0.1490521882733085,0.1507281701884127,0.1123041440896431,0.0689428219090929,10,2026-09-10,False
QQQ,2026-09-10,24,0.2007565457275113,0.2098122998717514,0.2122320748759322,,,0,,False
IWM,2026-09-10,22,0.201423479655427,0.2010446586974481,0.2026473970062909,,,0,,False
AAPL,2026-09-10,17,0.2516277475847003,0.2729303552854541,0.274238567443491,,,0,,False
MSFT,2026-09-10,16,0.258466671183968,0.3014376740984595,0.3053290944769622,,,0,,False
NVDA,2026-09-10,16,0.3350835199145658,0.3740982391859845,0.382592647693981,,,0,,False
AMZN,2026-09-10,18,0.3072587816152221,0.3592626945213765,0.3610096539181872,,,0,,False
META,2026-09-10,16,0.3899910915083388,0.4290454423614399,0.4312252815365343,,,0,,False
GOOGL,2026-09-10,16,0.2938586802971618,0.3329084873480138,0.3405491192094324,,,0,,False
BRK-B,2026-09-10,11,0.1396527033194565,0.1568745896799928,0.1618262513187192,,,0,,False
JPM,2026-09-10,11,0.2296370226646776,0.2487293131653503,0.2468446620381585,,,0,,False
XOM,2026-09-10,12,0.2971301091519289,0.3053360159553193,0.3065801308519427,,,0,,False
UNH,2026-09-10,13,0.3220060839426598,0.3300765922969913,0.3226652184710054,,,0,,False
