,annual_return,annual_vol,sharpe,max_drawdown,trough,months_held,months
sleeve: top 2 long only,0.024004049214753964,0.07225194892771791,0.36421054757313415,-0.39269705827772394,1981-08-31,700,775
"top 2 vs bottom 2, duration neutral",0.003636340156286666,0.047334297025841285,0.10014486504607222,-0.33082726329010526,2021-02-26,775,775
always long 10y at the same duration,0.015550419479162025,0.07819641734369304,0.23621457524709308,-0.49139624994193165,1981-08-31,775,775
