,sleeve,hold IEF+TLT,sleeve sharpe,sleeve max dd
2002,0.06356872482101927,0.08312134098370016,1.6416625008307226,-0.05043871904746988
2003,0.029630886342989493,0.03318278044518963,0.3285532294661353,-0.13197011869934516
2004,0.05992330864765116,0.07293914692460657,0.6522313400906449,-0.10870403305000553
2005,0.06870586240743415,0.07493516180476534,0.7849115124665873,-0.06995945584757535
2006,0.0820513797968705,0.02678680012867929,1.326417943608539,-0.03912040291078023
2007,0.10918620493825659,0.12354766339215972,1.000423796392245,-0.11220498457602956
2008,0.15830208950753066,0.18645842466686235,1.3642052670735394,-0.06304415461404056
2009,-0.0559217711344524,-0.09999577912565905,-0.592296056117929,-0.07550133553864857
2010,0.11368359964105457,0.0969252228261892,1.067530793942084,-0.09130053707015962
2011,0.2052391491718606,0.2049345550246422,1.6793883781495493,-0.03906363704257121
2012,0.03147767056783635,0.029912071997773237,0.3868275218918276,-0.06868249818827843
2013,-0.10873783969212492,-0.10668684653250715,-1.0605864230065158,-0.14156882520778258
2014,0.13402214545551083,0.13325116124982928,1.884891836336897,-0.03505329141462399
2015,0.015091281079533392,0.007936374998743778,0.1953860102698692,-0.10006125997433934
2016,-0.008667648600921285,-0.001432698184988812,-0.03010180040600133,-0.16073111384359762
2017,0.03768052885733497,0.03776128396809986,0.8111915631981133,-0.029414705362895588
2018,-0.009795977334467132,-0.004915345606391064,-0.16545859498912155,-0.060038378834044615
2019,0.1234405055757517,0.1176880699481273,1.2725281633630423,-0.06141595315596193
2020,0.14972059763980328,0.15277990899366456,0.9378144683735321,-0.12779389871183533
2021,-0.06736196293764618,-0.07336156726543952,-1.007813940603124,-0.10867661586524391
2022,-0.07385839400501315,-0.0937988568102498,-1.5217928464266512,-0.0927663859570732
2023,0.0,0.0012469419352374445,,0.0
2024,0.007731598417260566,-0.015624823498424978,0.35102047071569326,-0.010905939089326244
2025,0.021646727876937666,0.030811520069516707,0.5045136036394127,-0.03133377457307418
2026,-0.015146583528495072,-0.013455348403107137,-0.4021042827248435,-0.04857246107330293
