,sharpe gross,sharpe net,annual return,annual vol,max drawdown,trough,2022 return,2022 drawdown,turnover/yr,trades,live from
RatesCarry (sleeve),0.5644918808710642,0.5333455364912696,0.04159104682354364,0.08893600202893281,-0.21585678809654185,2022-11-07,-0.07385839400501315,-0.0927663859570732,3.568144244860273,295,2002-08-01
RatesCarry long/short,0.055505625690356636,-0.10302874229056072,-0.005615470344032758,0.044886393426220694,-0.40254397714159085,2026-08-17,0.03184513681065604,-0.026633558340532493,2.7140293432600986,479,2002-08-01
hold IEF+TLT 1/N,0.477929234062603,0.4692384185124491,0.038302804364780174,0.08846209411684568,-0.24742719708513772,2023-10-19,-0.0937988568102498,-0.10504362792025268,1.0966761336459454,411,2002-07-31
hold all five 1/N,0.5848876964128673,0.571930276480369,0.04840015584482038,0.0896893760594474,-0.2519612163524655,2023-10-19,-0.09688479630265623,-0.10880111534950421,1.651210394537209,996,2002-07-31
"RatesCarry, 2x costs",0.5676670031528499,0.5051236919920499,0.03916103786159142,0.08901191076227451,-0.21953023458689647,2022-11-07,-0.07753193432886052,-0.09547228754576709,3.576246416259798,295,2002-08-01
"RatesCarry, 4x costs",0.5447458308147078,0.4190628741905237,0.03163051168871611,0.08883632327180396,-0.2279297408951576,2022-11-07,-0.08484190613744269,-0.10086601325935385,3.5721690926636,294,2002-08-01
