,slope,se,t,alpha,r2,n
2y,1.2345943858760307,0.42902955401799886,2.877644149018779,-0.13965893441524357,0.02000804009485735,602.0
5y,1.7756123076056938,0.4950063876384753,3.5870492824882505,-1.089797683960711,0.019358848883828217,775.0
10y,2.2998503210511267,0.6621638637290304,3.473234416779149,-2.0453534377668685,0.017706310447207496,775.0
20y,3.1926560529324255,0.9311022795671164,3.428899405569858,-3.7560326994029793,0.01777958544747016,693.0
30y,3.4106069471010727,1.164360428152375,2.9291676912389373,-3.256580473398781,0.0139837071284169,594.0
pooled,2.513341701857393,0.784696408658855,3.2029478842053205,-2.069688639791114,0.015354961736814832,3439.0
