,mean,mean,mean,mean,mean,t,t,t,t,t
,2.0,5.0,10.0,20.0,30.0,2.0,5.0,10.0,20.0,30.0
1960,,-1.5915618799650666,-2.86028584655215,-3.931586347282545,,,-1.4953029754882794,-1.7775066708554514,-2.071117205043631,
1970,-1.2384925844035621,0.36073424941334264,-0.6928583972133462,-2.2603968468358597,-9.82580017269689,-0.9133083927787059,0.21304676372301645,-0.3215058378847736,-0.846644350459285,-2.102435090639709
1980,2.0745221817011577,2.932000315583648,3.826038103396971,7.492479387192194,5.018883645956882,1.4153957970828062,1.1064902381887953,1.0821804596267246,1.2851778047526181,1.0681169980965421
1990,1.5863931619391052,2.466323727636849,3.208662745799993,0.7931804211557244,4.577561996951534,2.827906592121615,1.839310032672598,1.5306392456806577,0.2268255392684601,1.5002917089762147
2000,2.037940517299513,3.842448962859876,4.741643187330757,5.578873529785425,5.7310574723807965,3.4394059171690863,2.4918661826841886,1.8157960065465846,1.486097459764602,1.2670424057339997
2010,0.750112122233424,2.5098427433720314,4.624739942558762,6.87232524830842,8.243368257658695,3.0291916832329098,2.4429710285972237,2.262059874378196,1.9572645136581126,1.8625503182534284
2020,-0.9734628110552688,-1.860763988280068,-3.283102670709403,-5.88487888585976,-7.326471327438575,-1.4161817745230012,-1.0750756382206175,-1.112392844452628,-1.2758100138678925,-1.2629240125825476
1962-2026,1.0692980311927982,1.4884796184685392,1.7432703452512612,1.5323561777092989,3.2084348886224086,2.9317728216060104,2.3158357655041675,1.8213560238676096,1.0832881823727925,1.6879800313123123
