,alpha,t_alpha,beta,benchmark_sharpe,residual_sharpe,sleeve_sharpe,n_obs
"IEF+TLT, 1/N",0.01430197521658229,1.6582024845474856,0.7498941298822811,0.39296228602515315,0.3264526628545697,0.5027803072334366,6059.0
"IEF+TLT, 1/N vol-targeted",0.008011197051342728,1.0388066390394175,0.7822131718234104,0.4636302874335864,0.1943917942086854,0.500931205180775,6000.0
"all five funds, 1/N",0.008190739864811522,0.9166462920787846,1.0854773214963387,0.47772134525121046,0.18027186764936212,0.5027803072334366,6059.0
"all five funds, 1/N vol-targeted",0.001127781988259938,0.1442608346806842,0.7803854302202926,0.5520606087085567,0.027167019577518155,0.500931205180775,6000.0
