,cv_rmse_mean,cv_rmse_sd,cv_rmse_p5,cv_rmse_p95,cv_mae,cv_r2,gap,min_sign_consistency
OLS full,922.1068903228249,72.16552043997277,831.9964067313639,1032.5419420904657,423.8425107663625,0.9459587069370805,1.4191841066634652,0.56
OLS BIC,921.3413928011257,72.08551212094875,832.030743397329,1032.4734770716168,423.8136938719165,0.9460485631818605,0.824321812529206,0.76
ridge,924.2216069280262,68.25449030925287,834.579624492087,1025.510109030501,429.60863599548924,0.9457490694433528,1.5000430124191553,0.88
lasso,919.3015013365522,71.84312824616876,830.7029296433489,1025.342627231629,429.03930590829674,0.9462907006100966,0.92705969898077,0.6
elastic net,922.7836262419186,69.83814201548634,833.5889717229792,1027.9065905296716,427.4240026251074,0.9459021279792056,1.414975134744509,0.68
