,log_carat,log_carat_sq,log_volume,aspect_xy,depth_c,depth_c_sq,table_c,table_c_sq,cut_score,cut_score_sq,color_score,color_score_sq,clarity_score,clarity_score_sq,carat_x_cut,carat_x_color,carat_x_clarity,table_x_cut
1e-06,0.8827157190463709,0.025851294874589006,0.19427935313008088,0.010894866523044644,-0.0043887682681755065,-0.011361727988800837,0.0066098795753723365,-0.007072583420728827,0.059286467877711135,-0.034906785452522925,0.27533998462232157,-0.14167555963962125,0.37233669056487717,-0.1664713663292696,0.00045119625212841055,0.019141406142992295,0.03278749790854635,-0.0061269262809122
1.4251026703029992e-06,0.8827539397050287,0.025848359932808773,0.19423615652925144,0.010893484247579662,-0.004392735942675256,-0.011365291995003381,0.006583906853249391,-0.007068692921204803,0.059221395506679986,-0.03484120414588848,0.27531714765342324,-0.14165336538561155,0.3723148470195207,-0.16644879973295845,0.0004513386619142015,0.01914125248543978,0.03278932679575885,-0.0060994334758936114
2.030917620904735e-06,0.8828086030734239,0.025844176529536057,0.19417441119247253,0.0108915112196337,-0.0043983935834697105,-0.011370371110471062,0.006546888802522908,-0.007063147863683365,0.05912866184356989,-0.034747745072411955,0.275284603408587,-0.14162173763466424,0.37228371850230507,-0.16641664159349723,0.0004515379509782833,0.019141030425768413,0.032791929976203546,-0.00606025170434583
2.894266124716752e-06,0.8828860642151375,0.02583821657683093,0.19408683663564325,0.010888706541336227,-0.004406448866576236,-0.01137760927967589,0.006494143875488913,-0.00705524715758803,0.05899650426685253,-0.034614553993068134,0.27523822275816184,-0.14157666182107187,0.37223935541568004,-0.1663708093862275,0.0004518302111465754,0.019140720918099634,0.03279564692810837,-0.006004417494708303
4.124626382901348e-06,0.8829962516877118,0.025829723873791555,0.1939622268871164,0.010884712852833005,-0.004417925046238416,-0.011387924371639515,0.00641898136007147,-0.007043988563636764,0.058808164960065946,-0.03442474196867608,0.2751721247584419,-0.14151242276682394,0.3721761326545608,-0.16630549214658405,0.00045225051404786603,0.019140283039913757,0.032800947261432734,-0.005924849781496581
5.878016072274912e-06,0.8831521361412525,0.025817625651342872,0.1937857348849454,0.010879039878077553,-0.004434260436967341,-0.011402624197906752,0.00631189202118661,-0.00702794799597317,0.05853975538442724,-0.03415423435185491,0.27507792374358403,-0.14142086765964465,0.3720860291670479,-0.1662123991212491,0.00045287095743276964,0.019139677098513486,0.032808519386941175,-0.005811467604022007
8.376776400682924e-06,0.8833722927898285,0.025800392726688756,0.1935361156428251,0.010870987461186964,-0.004457506318322565,-0.011423572543139192,0.006159322243296195,-0.007005095662178172,0.058157232452862334,-0.033768722773582435,0.2749436696418566,-0.14129037852814483,0.3719576144923724,-0.16607971586917206,0.00045379258579841104,0.019138845094208174,0.032819342885393885,-0.005649903766749995
1.1937766417144358e-05,0.8836826605955427,0.025775848069459435,0.1931836002067313,0.010859566394053877,-0.004490576968346862,-0.011453425380638822,0.0059419683547200204,-0.006972540801374729,0.05761207813931269,-0.033219311494875906,0.27475233024226153,-0.14110439491109303,0.3717745969264833,-0.16589060129100344,0.00045516939323843466,0.019137712789124132,0.03283482242265377,-0.005419688188869938
1.7012542798525893e-05,0.8841169404976122,0.02574090274710703,0.19268887447520014,0.01084341958121706,-0.004537570330247652,-0.01149596706347,0.005632391878966231,-0.006926175439175691,0.05683513007901616,-0.032436301961979844,0.27447961982810193,-0.14083929402188752,0.37151374610002563,-0.16562102868593778,0.0004572821037662489,0.01913622598290224,0.032857012890145226,-0.005091677393092935
2.424462017082331e-05,0.884725679695384,0.02569114424787485,0.19199351157704966,0.010820572401534894,-0.0046043690017878456,-0.01155659120936976,0.005191435185036709,-0.006860136293093954,0.055727839617941456,-0.03132037978278191,0.27409093884570646,-0.1404614282761995,0.371141966399888,-0.16523677791937544,0.00046048348914362223,0.019134267609795655,0.03288880173503926,-0.0046243169423979364
3.455107294592218e-05,0.8855625366775506,0.025620360611192286,0.19103175105279852,0.010788507045489537,-0.004699045568838614,-0.01164298044092976,0.004563695607462582,-0.006766133196111424,0.05414965675484482,-0.02972991546872876,0.27353690582592965,-0.13992272016387217,0.3706120199020048,-0.16468893315792507,0.0004656211403513482,0.01913196126182474,0.03293460274380874,-0.003958547858320492
4.9238826317067415e-05,0.8866968469682661,0.025519728781853906,0.18971667209215493,0.010743750365242033,-0.004832983680590556,-0.01176608179493984,0.003670374310700224,-0.006632377278375013,0.051900241363920824,-0.027463035081884746,0.2727471185536688,-0.139154605290193,0.3698565592700056,-0.16390772662267888,0.0004740368265735153,0.019129595805928476,0.03300082203302671,-0.0030102672812250004
7.017038286703837e-05,0.8882150723730893,0.025376726286274378,0.18793616567030053,0.010681551825187676,-0.005022197411647099,-0.011941493345109591,0.0023994443086838256,-0.006442112279562182,0.04869401558474866,-0.02423198282997141,0.27162119721885636,-0.1380592875183229,0.3687795583949413,-0.16279363219210868,0.0004878744389925389,0.019127778062620237,0.03309678981348852,-0.0016597277576603975
0.0001,0.8900982927870302,0.02517998366127426,0.1856447028632477,0.010601010167466977,-0.005273378037205108,-0.012181592342438435,0.0008444369174127549,-0.0062170311679988575,0.04435769557738673,-0.01986781737987835,0.2700175297413163,-0.13649825424641537,0.3672339184701015,-0.16119560112003525,0.0005393989080052944,0.019128617713326142,0.03324182864099569,-0.0
0.00014251026703029993,0.8916658358096451,0.024956515136039203,0.1832588382294123,0.010536989595533857,-0.005493059844198346,-0.012439788397480644,0.0008970011406594094,-0.0063067242585993066,0.04021573140794993,-0.015755932881143932,0.2677458903807841,-0.13428314833527927,0.36494366805290407,-0.1588417766883873,0.0008704977157276031,0.019136125702871733,0.033496379774448325,0.0
