model,terms,rmse,mae,medae,r2,aic,bic,adj_r2,train_rmse
mean price,0,3979.0819607990393,3025.0932259724623,2771.8157265562736,-4.8791436056738746e-05,,,,
"carat only, price in dollars",1,1550.1129905887174,1010.8113623970713,643.2679342648862,0.8482313288975876,,,,
carat only,1,1673.162906090469,861.4285168740707,341.72242829954484,0.8231798009182182,4672.97536474502,4689.471858316074,0.9327991020731167,1672.999552662436
carat + curvature,2,1673.8919898234278,861.538620051042,341.8332000601574,0.8230256679067967,4674.974509242988,4699.719249599569,0.932796723631335,1672.6254213161906
carat + quality,5,999.367499218595,463.69788739712897,183.66278836290348,0.9369179406442862,-28404.082919328568,-28354.593438615408,0.9791788225919182,997.9987993478977
full 18-term,18,924.5960179957682,423.92982909129466,176.64934621881378,0.9460042650119467,-32181.643074829895,-32024.926385904884,0.9817947338122264,920.6835435966625
AIC selected,17,924.4521326605767,423.89603399113133,176.6527840336969,0.9460210693021592,-32183.625171023123,-32035.156728883638,0.981795367501465,920.7061508041837
BIC selected,16,923.8993646435202,423.89148901978626,176.944959736403,0.9460856024560088,-32182.181881341916,-32041.961685987957,0.9817937924005747,920.4995299925474
one-hot quality benchmark,25,872.7823406213539,410.57346072314897,169.14682006272915,0.9518864590219973,-33780.49132764499,-33566.03691122129,0.9828013191296043,868.3880138897766
