fold,train_start,train_end,test_start,test_end,picked,picked_train_sharpe,picked_test_sharpe
1,2003-06-02,2013-12-04,2014-01-02,2015-12-31,"{""model"": ""gjr"", ""q"": 0.75}",3.046188956490825,
2,2003-06-02,2015-12-04,2016-01-04,2018-01-02,"{""model"": ""gjr"", ""q"": 0.75}",2.9010310571635247,
3,2003-06-02,2017-12-05,2018-01-03,2020-01-03,"{""model"": ""gjr"", ""q"": 0.75}",2.7313953124904837,
4,2003-06-02,2019-12-06,2020-01-06,2022-01-03,"{""model"": ""gjr"", ""q"": 0.75}",2.902309274912521,2.897748004896399
