,naive,har,garch,gjr,lgb
naive,,1.4894223643570215,6.154733314899387,6.290666454020942,2.6107634331161016
har,-1.4894223643570215,,3.2961702242777005,3.067011791038325,0.07134155135050246
garch,-6.154733314899387,-3.2961702242777005,,0.644850566695033,-2.922764622155013
gjr,-6.290666454020942,-3.067011791038325,-0.644850566695033,,-2.8606733387298466
lgb,-2.6107634331161016,-0.07134155135050246,2.922764622155013,2.8606733387298466,
