,naive,har,garch,gjr,lgb
naive,,11.8307846602885,16.805616096030867,17.192973199619868,15.148442476596747
har,-11.8307846602885,,8.629780663870763,8.372172867170782,1.8097351591236768
garch,-16.805616096030867,-8.629780663870763,,2.939164795481009,-8.609471035049694
gjr,-17.192973199619868,-8.372172867170782,-2.939164795481009,,-8.880548886065963
lgb,-15.148442476596747,-1.8097351591236768,8.609471035049694,8.880548886065963,
