,har,garch,gjr,lgb
SPY,-4.7444698961361125,-5.997945090651619,-6.128695039636159,-5.63260051469345
AAPL,-7.908605616312002,-9.035632190921172,-9.216044730272516,-6.111556311861603
MSFT,-6.146851826755965,-8.550945692603213,-8.65529332352374,-6.978925981977797
AMZN,-3.4142403857024073,-3.5126261166071653,-3.439774383260172,-2.9825879708097527
NVDA,-5.840495545741547,-6.5369254969267105,-6.557947274997785,-3.7805232634454065
JPM,-6.632298197982129,-8.108461955766082,-8.366376231175424,-6.511146281744514
BAC,-3.8484764486140906,-5.785143401365796,-5.905834688738491,-4.027809590587153
GS,-5.8148124212038805,-8.116399795524606,-8.199291891188444,-6.077770141518778
XOM,-6.841491744201154,-8.041447244139816,-8.028433089649612,-5.894771696062774
CVX,-5.819662576070984,-8.044583736272594,-8.195747437310182,-5.121859233083941
JNJ,-4.175301963340548,-5.323554129270106,-5.490761514260908,-4.767437288197868
PFE,-4.198250049959636,-5.027843640601467,-5.021737684874174,-4.651642639445003
MRK,-4.934417807018782,-5.333292111159174,-5.31279116629043,-5.600881301450586
UNH,-6.430420225023169,-8.819058153901468,-9.085138833111426,-7.65708091548149
PG,-3.738505321712228,-5.324610529725056,-5.483993213309276,-5.264631857237035
KO,-2.7982608420998427,-3.345107068241788,-3.410051331709643,-3.1980479780837916
PEP,-5.045240824216169,-7.120511919943078,-7.370645447391024,-7.112803811260431
WMT,-5.380423093635397,-7.299977726200421,-7.326117409465502,-7.0916714910514775
HD,-5.230344952245086,-6.95553040632244,-7.150076935026575,-5.986938789271248
MCD,-6.6068423093886475,-7.6146325030081545,-7.77288093508505,-7.646663616866482
DIS,-3.730658699062618,-4.789030823837317,-5.044379419664389,-3.8996801188428662
