,rmse,mae,bias,qlike,corr,n
naive,0.16446295234818928,0.10111851488251038,-2.1773655600931432e-06,1.2360284411663636,0.6559861219257908,82446.0
har,0.15089802642611788,0.08524979912026479,-0.026353825636194986,0.6872998811873612,0.6715621330917753,81906.0
garch,0.14527210621029285,0.09294223493396253,0.023888317772997974,0.5055368513040783,0.6966656719122484,82446.0
gjr,0.14298825368875226,0.0915621602866744,0.023327126161150232,0.49604571753079335,0.7069512295857743,82446.0
lgb,0.15324293558921476,0.08515961657169534,-0.021806760017937372,0.6497169841436778,0.6494026636091036,81906.0
