,rmse,mae,bias,qlike,corr,n
naive,0.1380655708779366,0.08213360094574298,-5.1911224244387495e-05,0.5020556370771596,0.704873609934252,82446.0
har,0.13022416970712422,0.07318218235541145,-0.017577206590957874,0.44742414570726263,0.6979022217314623,81906.0
garch,0.12661644255212878,0.07652939891385525,0.01126387016606431,0.3554778467826445,0.7212269481832948,82446.0
gjr,0.12554669377814337,0.07607346431065862,0.010654053891883071,0.35244358411469545,0.7245557843239872,82446.0
lgb,0.14978097779317565,0.07835941687334702,-0.010454563257684318,0.4449983099005617,0.6220606542670433,81906.0
