expiry,T,n,a,b,rho,m,sigma,rmse_vol,outside_band
2026-09-25,0.062134244941971,45,-0.0077796642551164604,0.0499967243879885,-0.16771038944207542,0.014870713408072873,0.17093437824757865,0.003014748636172514,4
2026-10-02,0.0813123271337519,86,-0.008150791077048657,0.05378082071707213,-0.1682709737390997,0.01759687401495532,0.17057300637227157,0.003487611645749337,7
2026-10-30,0.1580246559008752,126,-0.009343960164307873,0.06816615571954344,-0.17104944584568116,0.030839752885805805,0.16865417588119122,0.0019722095146890517,7
2026-12-18,0.292271231243341,37,-0.010441122107694758,0.09214033955190053,-0.17382408979529135,0.03792561659934542,0.1649954999217708,0.002492226472422066,3
2027-01-29,0.4073397243940259,38,-0.00919048680850838,0.09866879744219478,-0.17565360102677843,0.04832976712824375,0.16384200586707848,0.0023965278832325,2
2027-03-31,0.5744630120652587,28,-0.007213255026273471,0.10865709507453493,-0.17863956918133606,0.0659626666569302,0.16055033314508318,0.0015603648314777311,0
2027-09-17,1.040216436722793,47,-0.0006468527372297933,0.12973625762923005,-0.1881835946906764,0.12103744443924694,0.1610783307115769,0.0025884713641576395,3
