threshold_bps,share_of_samples,episodes,median_s,p90_s,max_s,symbol
0.0,0.9936363636363637,7,576.0,825.5999999999999,885.0,ETH
2.0,0.09454545454545454,52,3.0,11.699999999999996,30.0,ETH
5.0,0.0027272727272727275,3,3.0,3.0,3.0,ETH
10.0,0.0,0,0.0,0.0,0.0,ETH
20.0,0.0,0,0.0,0.0,0.0,ETH
50.0,0.0,0,0.0,0.0,0.0,ETH
