freq,symbol,n,start,end,mean,median_abs,p95_abs,max_abs,share_abs_gt20,ar1,half_life_periods
hourly,BTC,720,2026-08-05,2026-09-04,-0.1118717148375816,0.901360226122082,3.1601401546045658,6.391108616408756,0.0,0.10322698019751884,0.3052402422950085
hourly,ETH,720,2026-08-05,2026-09-04,0.34266607867931465,0.9729114312868045,3.887650417058663,8.987436576335655,0.0,0.04081907967241864,0.2167029176264779
daily,BTC,720,2024-09-15,2026-09-04,0.15701212076843818,1.4968755778471867,6.0454010250483625,10.680538101745025,0.0,0.05301692701643217,0.23599359493943717
daily,ETH,720,2024-09-15,2026-09-04,0.29295110802032853,1.5381225279731874,6.371777304578191,16.35740939528645,0.0,0.047093977646573575,0.22684411515214734
