symbol,samples,median,p95,p99,max,share>0,share>pro_rt(20),share>retail_rt(min 50),episodes_gt20,median_s_gt20
BTC,1100,1.6639371280171777,3.7374842683903142,4.9403830794647146,5.78015657462497,1.0,0.0,0.0,0,0.0
ETH,1100,0.9676123374065705,2.314131362863487,2.9842774019889893,7.898967893555971,0.9936363636363637,0.0,0.0,0,0.0
