informed_frac,strategy,mean_pnl,sharpe,adverse_selection,inventory_std,fills
0.0,naive,63.423215750475556,5.0120900029593685,-0.3354529164500093,3.147324733463023,74.9025
0.0,skewed,61.51699988735154,8.431185918152053,0.1206646973417994,1.361296556874242,78.665
0.0,avellaneda-stoikov,61.102803168464916,8.83167936183671,0.014077782669993972,1.4352852055594254,92.865
0.1,naive,56.54416047370324,4.806264315178469,-1.8105890328608956,3.0276201451825897,68.6675
0.1,skewed,55.97300569599642,7.875300520084371,-0.4567296111807186,1.3333903032578525,72.3
0.1,avellaneda-stoikov,55.560773501045205,8.412689745325343,-0.7745016195770097,1.4034009350763386,85.625
0.2,naive,49.401853659351154,4.271142552795075,-3.4746732150310344,2.939880559790306,62.2875
0.2,skewed,49.89688814872692,7.399337980033616,-1.2438297316543878,1.328897560787337,65.465
0.2,avellaneda-stoikov,49.77286330568619,7.730448392631148,-1.5261296465456682,1.4047573752639806,77.945
0.3,naive,42.66534449444963,3.8903682234913606,-4.916419300921921,2.8854754396323017,56.125
0.3,skewed,44.16378695206724,6.808541447367621,-1.797462248070825,1.3161676892206509,58.93
0.3,avellaneda-stoikov,44.10103816967703,6.989563889239051,-2.167761042237302,1.3888419434594346,70.29
0.4,naive,35.833417073669736,3.2785335246255096,-6.350604953774109,2.9047875705866644,49.74
0.4,skewed,38.18295427165686,6.168482075067082,-2.4133183502203868,1.3233869760517631,52.0675
0.4,avellaneda-stoikov,38.189903532663514,6.308627890665408,-2.8409165732006523,1.4009578634446296,62.335
0.6,naive,22.095791312089176,2.074217602308944,-9.500467942018535,2.9154540321457763,37.105
0.6,skewed,25.348593513251444,4.671498458080681,-4.126022192529335,1.3392852236357071,37.8075
0.6,avellaneda-stoikov,25.67119729842302,4.877055752332612,-4.723755403357639,1.4661539277793627,45.905
0.8,naive,8.671124591908821,0.8144020229704458,-12.523053651027622,2.9404071162362686,24.54
0.8,skewed,11.955911767907791,2.726091152349054,-6.274086862704747,1.4050916689612756,23.1425
0.8,avellaneda-stoikov,12.144536547328144,2.8056919392734523,-7.137108663207678,1.6046644452793815,28.47
1.0,naive,-4.819127711204909,-0.4713470325313001,-15.529968328112519,2.9963980084612065,11.8575
1.0,skewed,-2.505700253666048,-0.6194596259502951,-9.621163256866325,1.571010344711179,8.385
1.0,avellaneda-stoikov,-2.9840258793353036,-0.7514984059469452,-10.758050074803196,1.8748814483019882,9.885
