,naive,skewed,avellaneda-stoikov
spread captured,47.774,45.972,46.214
adverse selection,-4.807,-1.774,-2.097
inventory P&L,-0.273,-0.031,0.051
total,42.695,44.167,44.168
spread per fill,0.85,0.781,0.658
adverse per fill,-0.086,-0.03,-0.03
